time,pos.x,pos.y,pos.z,rot.x,rot.y,rot.z
8.614902,0.6031386,1.397947,-0.81248,353.6869,0.05054925,359.9889
8.664738,0.6035607,1.398074,-0.8125749,353.8134,359.9372,359.9827
8.68175,0.6037877,1.398066,-0.812458,353.7835,359.934,359.9824
8.703949,0.6040142,1.398014,-0.8123606,353.8543,359.9757,359.9854
8.726574,0.6043332,1.397975,-0.8123479,353.8383,359.9464,359.9837
8.748654,0.6046485,1.397933,-0.8122994,353.9171,359.8334,359.9775
8.771194,0.604989,1.397935,-0.812374,353.9732,359.8101,359.9767
8.794362,0.6052614,1.39787,-0.8122548,353.9631,359.8307,359.978
8.815912,0.6055765,1.397849,-0.812137,353.9236,359.9032,359.9821
8.837096,0.6059054,1.397848,-0.8119763,353.9221,359.8874,359.981
8.859492,0.6062827,1.397879,-0.8118021,354.0089,359.8795,359.9809
8.881635,0.606638,1.397884,-0.8116429,354.105,359.9471,359.9851
8.9035,0.6069239,1.397773,-0.8112729,354.1771,359.9727,359.9866
8.926573,0.6073,1.397808,-0.8111429,354.2307,359.8254,359.9777
8.948654,0.6076475,1.397815,-0.8110063,354.2572,359.8282,359.9778
8.97018,0.6079655,1.397794,-0.8109031,354.2309,359.824,359.9775
8.992767,0.6083101,1.397778,-0.8106524,354.2154,359.9053,359.9823
9.015459,0.6087123,1.397791,-0.8103799,354.1872,359.8543,359.9793
9.036647,0.6090884,1.397782,-0.8101631,354.1909,359.7396,359.9723
9.058867,0.6095915,1.39777,-0.8098412,354.173,359.7932,359.9749
9.081352,0.6100147,1.397786,-0.809576,354.1831,359.8993,359.9813
9.103541,0.6104923,1.397793,-0.8092518,354.1105,359.9757,359.9855
9.125772,0.6110127,1.397906,-0.8090925,354.1429,359.9872,359.9864
9.148531,0.6115516,1.39785,-0.8088914,354.312,1.78265,0.09160688
9.170346,0.6119907,1.397802,-0.8087,354.4718,1.709749,0.08631023
9.19195,0.6125059,1.397727,-0.8085626,354.295,1.653834,0.08202175
9.214071,0.6129272,1.397614,-0.808225,354.4668,1.685601,0.08431035
9.235785,0.6133307,1.397607,-0.8080871,354.6139,1.806622,0.09127502
9.258847,0.6137039,1.397529,-0.8080174,354.6213,1.754957,0.08733863
9.280832,0.6141214,1.397489,-0.8079497,354.3745,1.523221,0.07262304
9.303049,0.6145529,1.397471,-0.8079531,354.2912,1.512594,0.07140681
9.325403,0.6149895,1.397467,-0.807973,354.4142,1.544887,0.07394172
9.34698,0.6154622,1.397574,-0.8082006,354.4113,1.430338,0.06828299
9.371443,0.6159062,1.397595,-0.8082435,354.255,1.389505,0.0648606
9.39306,0.6163068,1.397576,-0.8083271,355.2649,3.779912,0.203494
9.415423,0.6167072,1.397479,-0.8083304,357.9216,10.0263,0.5669683
9.436744,0.6171012,1.397441,-0.8084086,357.8262,9.484399,0.5306017
9.459664,0.6175123,1.397415,-0.8084607,357.7835,9.603822,0.536236
9.481364,0.6179326,1.397382,-0.8085405,357.4334,9.707614,0.5369558
9.503723,0.6183873,1.397305,-0.808627,357.3036,9.818313,0.5360414
9.525756,0.6188272,1.397198,-0.8084755,357.3335,9.749786,0.5305178
9.548522,0.6192727,1.397253,-0.8085437,357.3372,9.790118,0.5305184
9.56994,0.61959,1.397172,-0.8083671,357.3672,9.788484,0.5303112
9.593176,0.6200101,1.397254,-0.8084164,357.3725,9.827794,0.5334044
9.614658,0.6203915,1.397284,-0.8084527,357.5144,9.820598,0.535782
9.6378,0.620804,1.397329,-0.8083903,357.4922,9.803417,0.5330985
9.658921,0.6212254,1.397377,-0.8084061,357.5103,9.810984,0.5309793
9.681308,0.6215972,1.397323,-0.808388,357.5266,9.729045,0.5222956
9.707153,0.6220015,1.397241,-0.8084452,357.5932,9.622371,0.5145588
9.729226,0.6224169,1.397223,-0.8084038,357.6002,9.584885,0.5096725
9.748764,0.6228302,1.397262,-0.8083795,357.5868,9.590243,0.5084164
9.770437,0.6232768,1.397206,-0.8083088,357.5751,9.583763,0.5052037
9.792229,0.6237621,1.397036,-0.8081322,357.6658,9.579225,0.4993539
9.815414,0.6242325,1.39696,-0.8080792,357.6328,9.506398,0.4836769
9.836796,0.624632,1.396875,-0.8079842,357.5448,9.485145,0.4696831
9.858689,0.625007,1.39681,-0.8078382,357.4946,9.477588,0.4648544
9.880923,0.6252943,1.396796,-0.8077438,357.4407,9.472285,0.4598116
9.902905,0.6255521,1.396697,-0.8076167,357.4123,9.457447,0.4576765
9.925133,0.6257958,1.396615,-0.8074989,357.4,9.46668,0.458529
9.947499,0.6259606,1.396634,-0.8074379,357.4171,9.56285,0.4625829
