time,rot.x,rot.y,rot.z
697.1334,8.180365,-6.764221,10.74072
697.1445,8.180365,-6.764221,10.74072
697.1556,8.180365,-6.764221,10.74072
697.1667,3.393504,-3.14032,4.479406
697.1778,3.393504,-3.14032,4.479406
697.1842,-3.053497,-1.038055,1.407735
697.2,-3.053497,-1.038055,1.407735
697.2097,-3.373932,0.04202017,0.02547323
697.2111,-3.373932,0.04202017,0.02547323
697.2222,-3.373932,0.04202017,0.02547323
697.2333,-3.373932,0.04202017,0.02547323
697.2444,-3.717621,-0.9255981,1.254302
697.2556,-3.717621,-0.9255981,1.254302
697.261,-3.095337,-1.34668,1.830314
697.2778,-3.095337,-1.34668,1.830314
697.2866,-2.958801,-1.212646,1.64194
697.3,-2.958801,-1.212646,1.64194
697.3112,-2.958801,-1.212646,1.64194
697.3114,-2.440979,-1.330963,1.774329
697.3223,-2.440979,-1.330963,1.774329
697.3334,-2.440979,-1.330963,1.774329
697.3445,-1.892029,-1.104584,1.434452
697.3556,-1.892029,-1.104584,1.434452
697.3667,-4.52948,-1.587921,1.803435
697.3778,-4.52948,-1.587921,1.803435
697.3853,-7.852417,-1.810364,1.685443
697.4,-7.852417,-1.810364,1.685443
697.4107,-7.545227,-0.9537964,0.6671113
697.4107,-7.545227,-0.9537964,0.6671113
697.4222,-7.545227,-0.9537964,0.6671113
697.4333,-7.545227,-0.9537964,0.6671113
697.4445,-5.88858,-1.132324,1.006629
697.4556,-5.88858,-1.132324,1.006629
697.4619,-5.800903,-2.333344,2.512853
697.4778,-5.800903,-2.333344,2.512853
697.4863,-5.416138,-3.196869,3.629035
697.5,-5.416138,-3.196869,3.629035
697.5111,-5.416138,-3.196869,3.629035
697.5125,-3.334747,-5.226807,6.44061
697.5222,-3.334747,-5.226807,6.44061
697.5333,-3.334747,-5.226807,6.44061
697.5444,-2.058228,-7.294739,9.20003
697.5555,-2.058228,-7.294739,9.20003
697.5667,-2.058228,-7.294739,9.20003
697.572,-0.5756836,-7.680328,9.925697
697.5889,-0.5756836,-7.680328,9.925697
697.5989,0.2430412,-8.000793,10.46481
697.6,0.2430412,-8.000793,10.46481
697.6111,0.2430412,-8.000793,10.46481
697.6223,0.2430412,-8.000793,10.46481
697.6334,0.9270286,-7.588806,10.06412
697.6445,0.9270286,-7.588806,10.06412
697.6519,1.152407,-7.591156,10.15732
697.6667,1.152407,-7.591156,10.15732
697.6778,1.152407,-7.591156,10.15732
697.6836,1.0645,-7.550446,10.17301
697.7,1.0645,-7.550446,10.17301
697.7107,1.736642,-7.597961,10.47021
697.7107,1.736642,-7.597961,10.47021
697.7222,1.736642,-7.597961,10.47021
697.7333,1.736642,-7.597961,10.47021
697.7444,2.719382,-7.900848,11.23055
697.7556,2.719382,-7.900848,11.23055
697.7667,2.719382,-7.900848,11.23055
697.7719,3.131868,-8.031281,11.42586
697.7889,3.131868,-8.031281,11.42586
697.7991,4.864158,-7.977814,11.5416
697.8,4.864158,-7.977814,11.5416
697.8112,4.864158,-7.977814,11.5416
697.8223,4.864158,-7.977814,11.5416
697.8334,6.393825,-7.571564,11.13356
697.8445,6.393825,-7.571564,11.13356
697.8502,8.972965,-7.9216,12.22499
697.8667,8.972965,-7.9216,12.22499
697.8778,8.972965,-7.9216,12.22499
697.8839,9.826006,-8.382813,13.41116
697.9,9.826006,-8.382813,13.41116
697.9084,9.611378,-8.416534,13.58881
697.9111,9.611378,-8.416534,13.58881
697.9222,9.611378,-8.416534,13.58881
697.9333,9.611378,-8.416534,13.58881
697.9445,10.13618,-8.008362,13.11843
697.9556,10.13618,-8.008362,13.11843
697.961,11.18187,-7.926788,13.10475
697.9778,11.18187,-7.926788,13.10475
697.9889,11.18187,-7.926788,13.10475
697.9933,12.45294,-8.247742,13.11555
698,12.45294,-8.247742,13.11555
698.0111,12.45294,-8.247742,13.11555
