time,pos.x,pos.y,pos.z,rot.x,rot.y,rot.z
280.7072,-42.31804,1.170076,-52.14066,-1.557404,-128.8793,0.3787169
280.756,-42.42164,1.162313,-52.22394,-1.557983,-128.7941,0.3764002
280.7818,-42.47589,1.158239,-52.2663,-1.563232,-127.9688,0.3539241
280.8059,-42.52564,1.158316,-52.30435,-1.566711,-127.3912,0.3381489
280.8309,-42.57544,1.159238,-52.34187,-1.569122,-126.9739,0.3267297
280.8559,-42.62305,1.160162,-52.3772,-1.571472,-126.5547,0.3152429
280.8816,-42.66917,1.161069,-52.41118,-1.572479,-126.3696,0.3101632
280.9055,-42.70941,1.161882,-52.44069,-1.573212,-126.2357,0.3064896
280.9297,-42.74683,1.162634,-52.46801,-1.573914,-126.1013,0.3028001
280.9534,-42.78048,1.163316,-52.4925,-1.574249,-126.0421,0.3011705
280.9782,-42.81247,1.164495,-52.51574,-1.574554,-125.9823,0.2995298
281.0019,-42.8401,1.166566,-52.53582,-1.574677,-125.956,0.298807
281.026,-42.86533,1.16845,-52.55413,-1.574799,-125.937,0.2982846
281.0511,-42.88876,1.170205,-52.57112,-1.57489,-125.9179,0.2977595
281.0771,-42.90959,1.17177,-52.58623,-1.574951,-125.9061,0.297435
281.1017,-42.92685,1.17307,-52.59874,-1.574982,-125.901,0.2972946
281.1267,-42.94244,1.174234,-52.61006,-1.575012,-125.8957,0.2971492
281.1512,-42.95602,1.175252,-52.61991,-1.575012,-125.8935,0.2970887
281.1769,-42.96902,1.176229,-52.62934,-1.575012,-125.8918,0.2970418
281.2007,-42.98039,1.177083,-52.63759,-1.575043,-125.8901,0.2969951
281.2256,-42.99224,1.177976,-52.64618,-1.575043,-125.8894,0.2969756
281.2496,-43.00419,1.178864,-52.65483,-1.575043,-125.8888,0.2969595
281.2743,-43.01763,1.179872,-52.66457,-1.575043,-125.8883,0.2969455
281.2995,-43.033,1.181028,-52.67569,-1.575043,-125.8881,0.29694
281.3247,-43.0513,1.182401,-52.68895,-1.575043,-125.8878,0.2969317
281.3487,-43.07125,1.183897,-52.70339,-1.575043,-125.8877,0.2969292
281.3742,-43.09535,1.185704,-52.72084,-1.575043,-125.8876,0.2969262
281.3992,-43.12183,1.187696,-52.74002,-1.575043,-125.8876,0.2969262
281.425,-43.15198,1.189946,-52.76186,-1.575043,-125.8875,0.2969238
281.4496,-43.18344,1.192319,-52.78429,-1.577179,-125.4654,0.2853147
281.4746,-43.21797,1.194901,-52.80808,-1.581573,-124.5426,0.2598788
281.4988,-43.25305,1.197531,-52.83188,-1.583374,-124.135,0.248624
281.5239,-43.2908,1.200361,-52.85681,-1.586365,-123.4186,0.2288081
281.5487,-43.32905,1.203234,-52.88092,-1.590881,-122.1999,0.1950213
281.5733,-43.36758,1.206129,-52.9038,-1.59552,-120.6707,0.1525028
281.5971,-43.40461,1.208677,-52.92534,-1.596741,-120.1871,0.139033
281.6205,-43.44072,1.211161,-52.94547,-1.59903,-119.1296,0.1095438
281.6445,-43.47766,1.211424,-52.96503,-1.601044,-117.8818,0.07470131
281.6678,-43.51289,1.211427,-52.98299,-1.60202,-116.9804,0.04950691
281.6909,-43.54748,1.211427,-52.99994,-1.6026,-116.0746,0.02417942
281.7148,-43.58312,1.211435,-53.01651,-1.602753,-114.8938,-0.008850098
281.7401,-43.62062,1.211428,-53.03299,-1.602234,-113.7075,-0.04202271
281.7635,-43.65503,1.211427,-53.04776,-1.601776,-113.1836,-0.05667114
281.7856,-43.68744,1.211427,-53.06142,-1.601379,-112.8051,-0.06726074
281.8108,-43.72441,1.211428,-53.07611,-1.59967,-111.644,-0.09967041
281.835,-43.76027,1.211432,-53.08983,-1.598267,-110.9119,-0.1201172
281.8589,-43.79626,1.211427,-53.10323,-1.597107,-110.383,-0.1348572
281.8839,-43.83488,1.211427,-53.11679,-1.594269,-109.3028,-0.1649475
281.9099,-43.87646,1.211434,-53.13068,-1.591614,-108.4396,-0.1889343
281.9355,-43.91916,1.211423,-53.14443,-1.589447,-107.816,-0.2062378
281.9611,-43.96339,1.211427,-53.15812,-1.587128,-107.1895,-0.2236023
281.9863,-44.00873,1.211427,-53.17192,-1.586029,-106.9128,-0.2312622
282.01,-44.05294,1.211427,-53.18515,-1.584869,-106.6348,-0.2389526
282.0358,-44.10246,1.211424,-53.19985,-1.584351,-106.5121,-0.2423401
282.0604,-44.15127,1.211427,-53.21421,-1.583832,-106.3887,-0.2457581
282.0858,-44.20223,1.211221,-53.22918,-1.583588,-106.3342,-0.2472839
282.1097,-44.25058,1.208246,-53.24331,-1.583374,-106.2795,-0.2487793
282.1343,-44.30057,1.204495,-53.25791,-1.583252,-106.2554,-0.2494507
282.1581,-44.3485,1.200899,-53.27188,-1.58316,-106.231,-0.2501221
282.1833,-44.39882,1.197126,-53.28652,-1.583099,-106.2204,-0.2504272
282.208,-44.4471,1.193506,-53.30057,-1.583069,-106.2126,-0.2506409
282.2345,-44.49753,1.189725,-53.31526,-1.583038,-106.2047,-0.2508545
282.2598,-44.54422,1.18622,-53.32885,-1.583008,-106.2013,-0.250946
282.284,-44.58723,1.183003,-53.34135,-1.583008,-106.1988,-0.2510071
282.3074,-44.62725,1.180001,-53.35299,-1.583008,-106.1963,-0.2510681
282.3329,-44.66859,1.176893,-53.36499,-1.583008,-106.1948,-0.2511292
282.357,-44.70638,1.174802,-53.37599,-1.582977,-106.1941,-0.2511292
282.3806,-44.74268,1.174803,-53.38656,-1.582977,-106.1936,-0.2511597
282.4041,-44.77806,1.17481,-53.39684,-1.582977,-106.1931,-0.2511597
282.4288,-44.81531,1.174809,-53.40766,-1.582977,-106.1929,-0.2511597
282.4539,-44.85356,1.174802,-53.41935,-1.586273,-106.9735,-0.2295837
282.4799,-44.89401,1.17481,-53.43216,-1.58844,-107.5375,-0.2139587
282.5047,-44.93404,1.174654,-53.44529,-1.590485,-108.1042,-0.1982422
282.5304,-44.97678,1.171785,-53.45949,-1.591339,-108.3543,-0.1913147
282.5558,-45.02026,1.168836,-53.47475,-1.594299,-109.3159,-0.1645813
282.5813,-45.06561,1.165426,-53.49154,-1.596863,-110.282,-0.1376648
282.6062,-45.11101,1.162019,-53.50887,-1.598206,-110.8753,-0.1211243
282.6314,-45.15836,1.158475,-53.52719,-1.598724,-111.1373,-0.1138306
282.6568,-45.20822,1.154729,-53.54676,-1.599243,-111.4006,-0.1064758
282.6831,-45.26246,1.150659,-53.56814,-1.599457,-111.5169,-0.103241
282.7097,-45.32206,1.148519,-53.59181,-1.59967,-111.6336,-0.09997559
282.7363,-45.38551,1.146634,-53.61705,-1.599762,-111.6852,-0.09854126
282.7602,-45.44504,1.144914,-53.63987,-1.598358,-110.9562,-0.118866
282.7852,-45.50922,1.143129,-53.66376,-1.597168,-110.415,-0.1339722
282.8113,-45.57598,1.141309,-53.6879,-1.595825,-109.8713,-0.1491089
282.8362,-45.63839,1.139443,-53.70922,-1.592926,-108.8504,-0.1775208
282.8665,-45.71012,1.138177,-53.73229,-1.589508,-107.8247,-0.2059937
282.8929,-45.76692,1.138181,-53.74944,-1.585449,-106.7729,-0.2351379
282.9176,-45.81599,1.138177,-53.76303,-1.579651,-105.4632,-0.2713013
282.9433,-45.86221,1.138177,-53.77533,-1.576843,-104.8848,-0.2872314
282.9693,-45.90444,1.140035,-53.78624,-1.574707,-104.4669,-0.2987366
282.9979,-45.94517,1.143098,-53.79538,-1.564148,-102.6019,-0.349823
283.0242,-45.97897,1.145636,-53.8026,-1.560638,-102.0368,-0.3652344
283.0499,-46.00883,1.147863,-53.80877,-1.557983,-101.6285,-0.3763428
283.0748,-46.03539,1.149861,-53.81404,-1.555267,-101.2182,-0.3874817
283.0992,-46.05935,1.151655,-53.81855,-1.551086,-100.6151,-0.4038391
283.1232,-46.08121,1.153303,-53.82233,-1.545349,-99.82056,-0.425293
283.1468,-46.10145,1.154809,-53.82557,-1.539276,-99.02231,-0.4467773
283.1711,-46.12129,1.156301,-53.8286,-1.536499,-98.6698,-0.4562378
283.1948,-46.13994,1.157697,-53.83135,-1.53363,-98.31558,-0.4657288
283.218,-46.15791,1.159051,-53.83395,-1.532379,-98.15921,-0.4699097
283.2417,-46.17617,1.160421,-53.83656,-1.531433,-98.0462,-0.4729309
283.2669,-46.19593,1.161901,-53.83933,-1.530487,-97.93262,-0.4759827
283.292,-46.21627,1.16469,-53.84217,-1.53009,-97.88254,-0.4772949
283.3166,-46.23749,1.167653,-53.8451,-1.529663,-97.83212,-0.4786682
283.3408,-46.25961,1.170739,-53.84816,-1.529388,-97.80121,-0.4794922
283.3664,-46.28455,1.173394,-53.85159,-1.529297,-97.78751,-0.4798584
283.391,-46.3104,1.177831,-53.85514,-1.529205,-97.77771,-0.4801025
283.4153,-46.33817,1.181051,-53.85894,-1.529114,-97.7677,-0.4803772
283.4403,-46.36959,1.183214,-53.86322,-1.529083,-97.7634,-0.4804993
283.4665,-46.40565,1.185548,-53.86815,-1.529053,-97.76019,-0.4805603
283.4926,-46.44654,1.187787,-53.87374,-1.529022,-97.75629,-0.4806824
283.5175,-46.48965,1.190988,-53.87962,-1.529022,-97.75507,-0.4807129
283.5422,-46.53672,1.194036,-53.88605,-1.529022,-97.75418,-0.4807434
283.5673,-46.58893,1.197401,-53.89318,-1.528992,-97.7533,-0.4807434
283.5932,-46.64745,1.198572,-53.90117,-1.528992,-97.75299,-0.4807739
283.6177,-46.70631,1.197961,-53.9092,-1.528992,-97.75269,-0.4807739
283.6422,-46.7683,1.197328,-53.91765,-1.528992,-97.75238,-0.4807739
283.6669,-46.83203,1.196409,-53.92635,-1.528992,-97.75229,-0.4807739
283.6907,-46.89437,1.193063,-53.93485,-1.528992,-97.7522,-0.4807739
283.7148,-46.95668,1.187383,-53.94335,-1.528992,-97.75208,-0.4808044
283.7384,-47.01791,1.181898,-53.9517,-1.528992,-97.75208,-0.4808044
283.7606,-47.07526,1.177095,-53.95952,-1.528992,-97.75201,-0.4808044
283.7853,-47.13937,1.171086,-53.96827,-1.528992,-97.75201,-0.4808044
283.811,-47.20601,1.16459,-53.97735,-1.528992,-97.75201,-0.4808044
