time,pos.x,pos.y,pos.z,rot.x,rot.y,rot.z
606.5856,36.56135,1.778013,28.20915,5.471688,3.219384,0.05153526
606.6142,36.50582,1.780653,28.21445,5.552456,3.326652,0.04367998
606.6378,36.4595,1.783486,28.21861,4.410922,3.313976,0.03974604
606.6525,36.43102,1.786306,28.21978,4.600499,3.110293,0.04470619
606.6755,36.38583,1.788702,28.22465,5.578419,3.029989,0.04106402
606.6971,36.34386,1.790102,28.22929,3.848147,2.099565,0.0250812
606.7192,36.3013,1.790298,28.23464,3.567502,2.035791,0.01473563
606.7413,36.25875,1.790087,28.24185,3.380092,1.654964,0.01160178
606.7545,36.23541,1.789521,28.24448,3.622326,2.247655,0.008092077
606.7745,36.19847,1.789097,28.25036,3.876084,3.158656,0.001823422
606.7924,36.16783,1.788324,28.25502,3.666041,3.338384,-0.01748657
606.8076,36.14165,1.787977,28.25932,3.467474,3.933852,-0.03240967
606.82,36.12312,1.787698,28.26237,2.860631,4.695774,-0.05679321
606.8408,36.08935,1.787758,28.26817,0.2560662,-2.708344,0.03931835
606.8526,36.07343,1.788218,28.27155,0.1615272,-2.987457,0.0440514
606.8739,36.04187,1.788631,28.2769,1.120818,-2.790558,0.03218207
606.8895,36.02209,1.789793,28.28132,2.381224,-2.487305,-0.0003134722
606.9077,35.99735,1.790333,28.28572,3.883372,-2.309479,-0.0144043
606.9203,35.98306,1.79124,28.28916,4.455323,-2.473297,-0.03967285
606.9401,35.95779,1.79157,28.29338,5.20063,-3.390442,-0.07043457
606.9588,35.93615,1.791843,28.29787,6.385331,-3.540161,-0.1108704
606.9737,35.91835,1.791909,28.30097,5.995224,-4.799591,-0.1699829
606.989,35.90118,1.79213,28.30455,6.79967,-3.910156,-0.1853943
607.0048,35.8825,1.792295,28.30736,8.369901,-2.873749,-0.1560059
607.0178,35.86719,1.792293,28.30977,7.588026,-2.989838,-0.1705322
607.0298,35.85344,1.791866,28.31285,7.840658,-2.356842,-0.1461182
607.0499,35.8292,1.791613,28.31609,8.909334,-1.973633,-0.1271362
607.0619,35.81477,1.791469,28.31808,8.407556,-1.714722,-0.1120605
607.0743,35.79904,1.791143,28.32106,8.128026,-1.3172,-0.08938599
607.095,35.7726,1.790961,28.3239,7.570691,-1.059357,-0.07269287
607.1152,35.74569,1.790542,28.3275,7.508407,-1.16684,-0.08068848
