time,rot.x,rot.y,rot.z
297.1095,3.241769,10.65773,-0.08609009
297.1111,3.241769,10.65773,-0.08609009
297.1222,3.241769,10.65773,-0.08609009
297.1333,3.241769,10.65773,-0.08609009
297.1444,3.241769,10.65773,-0.08609009
297.1555,3.241769,10.65773,-0.08609009
297.1667,3.241769,10.65773,-0.08609009
297.1721,4.766873,7.929811,-0.01885986
297.1889,4.766873,7.929811,-0.01885986
297.197,5.975339,8.754617,-0.00970459
297.2,5.975339,8.754617,-0.00970459
297.2111,5.975339,8.754617,-0.00970459
297.2204,5.682684,7.867017,-0.03787231
297.2333,5.682684,7.867017,-0.03787231
297.2423,4.478706,7.931536,-0.108551
297.2556,4.478706,7.931536,-0.108551
297.2647,3.866707,7.792527,-0.1914368
297.2778,3.866707,7.792527,-0.1914368
297.2882,2.980895,7.91817,-0.2606506
297.3,2.980895,7.91817,-0.2606506
297.3111,2.980895,7.91817,-0.2606506
297.313,2.851292,6.559225,-0.2479248
297.3222,2.851292,6.559225,-0.2479248
297.3333,2.851292,6.559225,-0.2479248
297.3445,2.086695,6.516852,-0.2782288
297.3556,2.086695,6.516852,-0.2782288
297.3611,0.6848583,6.300329,-0.3362732
297.3778,0.6848583,6.300329,-0.3362732
297.3842,0.2661406,6.150379,-0.3669434
297.4,0.2661406,6.150379,-0.3669434
297.407,-0.5324402,6.043487,-0.3955383
297.4111,-0.5324402,6.043487,-0.3955383
297.4222,-0.5324402,6.043487,-0.3955383
297.4333,-0.5324402,6.043487,-0.3955383
297.4445,-0.6341248,6.039854,-0.3635559
297.4556,-0.6341248,6.039854,-0.3635559
297.462,-0.5482483,6.101961,-0.3306885
297.4778,-0.5482483,6.101961,-0.3306885
297.4823,-0.704071,6.189653,-0.3087769
297.5,-0.704071,6.189653,-0.3087769
297.5052,0.17801,5.684171,-0.2690125
297.5111,0.17801,5.684171,-0.2690125
297.5222,0.17801,5.684171,-0.2690125
297.5334,0.17801,5.684171,-0.2690125
297.5445,0.17801,5.684171,-0.2690125
