time,pos.x,pos.y,pos.z,rot.x,rot.y,rot.z
2.63868,0.3567003,1.002021,-0.5707401,63.4022,117.4312,323.5947
2.659295,0.3566977,1.002013,-0.570722,63.40113,117.4373,323.5995
2.672248,0.3566733,1.002024,-0.5707132,63.40556,117.4377,323.5955
2.688773,0.3566566,1.002007,-0.5707265,63.40372,117.4487,323.6006
2.700517,0.3566654,1.002018,-0.5707058,63.40325,117.4235,323.5821
2.721851,0.3566656,1.002003,-0.5706915,63.40564,117.4473,323.6017
2.733581,0.3566703,1.001994,-0.5706805,63.39915,117.4476,323.6001
2.744836,0.3566499,1.001959,-0.5706795,63.40241,117.4272,323.5853
2.766008,0.3566724,1.001936,-0.5707003,63.39996,117.4509,323.6097
2.777642,0.3566626,1.001924,-0.5706965,63.40526,117.4452,323.6008
2.788492,0.35663,1.001934,-0.5706588,63.40707,117.4337,323.591
2.800161,0.3566244,1.001889,-0.57064,63.40599,117.441,323.604
2.812101,0.3566372,1.00188,-0.5706524,63.40198,117.4214,323.5781
2.833168,0.3566842,1.001924,-0.5706981,63.40528,117.4487,323.609
2.846204,0.3567014,1.001936,-0.570685,63.40846,117.4377,323.5952
2.866167,0.3567158,1.001933,-0.5706853,63.40079,117.4544,323.6083
2.879148,0.3567016,1.001952,-0.5706559,63.40782,117.4205,323.5707
2.899637,0.3567084,1.001934,-0.5706505,63.40186,117.4295,323.5842
2.912011,0.3567018,1.001953,-0.5706433,63.39831,117.421,323.5705
2.933068,0.356667,1.001958,-0.5706357,63.40596,117.4321,323.5884
2.945373,0.3566463,1.001971,-0.5706381,63.40775,117.4307,323.5881
2.965809,0.3566481,1.001947,-0.5706447,63.39786,117.4295,323.5864
2.978553,0.3566334,1.001953,-0.5706142,63.40437,117.4266,323.5856
2.999524,0.3566613,1.002011,-0.5706817,63.40137,117.4426,323.5963
3.010642,0.3566504,1.00201,-0.5706824,63.41006,117.4496,323.5994
3.022524,0.3566422,1.00197,-0.570654,63.4001,117.4305,323.5856
3.034217,0.3566759,1.001997,-0.5706793,63.39949,117.4387,323.5858
3.054945,0.3566608,1.001948,-0.5706762,63.4041,117.4362,323.5858
3.067757,0.3566819,1.001971,-0.5706829,63.40143,117.4414,323.6037
3.088544,0.3566811,1.001973,-0.570675,63.40922,117.4275,323.5866
3.099715,0.3566895,1.001981,-0.5706955,63.39551,117.4344,323.597
3.110985,0.3566443,1.002007,-0.5706681,63.39833,117.4309,323.5945
3.122804,0.3566336,1.001942,-0.5706757,63.40277,117.4408,323.6006
3.144548,0.3566279,1.001958,-0.5706347,63.39452,117.4309,323.5943
3.166888,0.356622,1.00197,-0.5706369,63.40402,117.4235,323.5882
3.178772,0.3566263,1.001955,-0.5706319,63.40065,117.4284,323.5861
3.200207,0.3566311,1.001951,-0.5706202,63.40129,117.4319,323.5863
3.211737,0.3566599,1.001957,-0.5706087,63.3944,117.4211,323.5844
3.233748,0.3566933,1.001959,-0.5706457,63.3926,117.4303,323.5891
3.2556,0.3566943,1.001978,-0.5706867,63.40242,117.4281,323.5873
3.266538,0.3567051,1.001976,-0.5707082,63.40253,117.4529,323.6128
3.277722,0.3567261,1.001989,-0.5707334,63.39444,117.4319,323.6005
3.288975,0.3567159,1.001979,-0.5707554,63.40088,117.4419,323.6051
3.300827,0.35668,1.00199,-0.5707201,63.39161,117.4526,323.6132
3.322505,0.3566835,1.002033,-0.5707604,63.39634,117.466,323.6286
3.344771,0.3566962,1.002004,-0.5707408,63.39681,117.4306,323.6087
3.366915,0.3566797,1.001961,-0.5707051,63.39438,117.4421,323.6116
3.389232,0.3566941,1.001986,-0.5706614,63.40134,117.4203,323.5852
3.411206,0.3566904,1.00199,-0.5706724,63.39327,117.4568,323.6276
3.433749,0.356726,1.001989,-0.5706948,63.39598,117.4531,323.6203
3.45573,0.3567312,1.002037,-0.570707,63.40407,117.4752,323.6344
3.477718,0.3567123,1.002042,-0.5706791,63.40184,117.4485,323.6179
3.499925,0.3567072,1.00205,-0.5706772,63.41119,117.4542,323.6229
3.512316,0.3567179,1.002046,-0.5706643,63.41548,117.4642,323.6289
3.533848,0.3567465,1.002045,-0.570664,63.41046,117.4586,323.6232
3.555593,0.3567299,1.002014,-0.5706166,63.40366,117.4459,323.6118
3.57802,0.3567299,1.002053,-0.5707086,63.41801,117.4764,323.6487
3.600044,0.3567401,1.002045,-0.5706865,63.409,117.4394,323.6101
3.612212,0.3566946,1.00197,-0.5706781,63.41268,117.4579,323.6276
3.633351,0.3566989,1.001945,-0.5706576,63.40462,117.4485,323.6154
3.655935,0.3567139,1.00191,-0.5706109,63.40439,117.4444,323.6176
3.678245,0.3567232,1.00188,-0.5705868,63.40747,117.4518,323.6237
3.70013,0.3567358,1.001928,-0.5705889,63.41067,117.4592,323.627
3.722229,0.3567167,1.002007,-0.570624,63.41354,117.4684,323.6454
3.744426,0.3567194,1.001991,-0.5706185,63.40322,117.4489,323.6201
3.756165,0.3567249,1.002003,-0.5706187,63.40165,117.4423,323.6168
3.777998,0.356779,1.00201,-0.5706161,63.40495,117.4673,323.642
3.800128,0.3567345,1.001983,-0.570592,63.40993,117.4532,323.6288
3.821944,0.3567398,1.001972,-0.5706023,63.40588,117.4672,323.6422
3.834568,0.3567436,1.002001,-0.570578,63.40357,117.4536,323.6308
3.855363,0.3567244,1.002031,-0.5706123,63.40743,117.452,323.6244
3.877579,0.3567151,1.002048,-0.5705918,63.4114,117.4619,323.6403
3.900238,0.3567704,1.002022,-0.5706171,63.41257,117.4451,323.6096
3.922868,0.3567453,1.002021,-0.5706059,63.41402,117.4591,323.6422
3.944283,0.3567569,1.002044,-0.5706223,63.41135,117.4541,323.632
3.966568,0.3567637,1.002029,-0.5706125,63.41724,117.4666,323.6343
3.988219,0.3567632,1.002043,-0.5706102,63.41394,117.4543,323.6273
3.999763,0.3567099,1.002029,-0.5706142,63.41782,117.459,323.6312
4.021975,0.3567119,1.002025,-0.5706109,63.41291,117.4549,323.6308
4.034174,0.3567308,1.001979,-0.5706397,63.40907,117.4489,323.6299
4.056046,0.3567421,1.001976,-0.5706095,63.41623,117.451,323.6178
4.078431,0.3567824,1.001982,-0.5706033,63.412,117.4728,323.6441
4.10518,0.3567831,1.001998,-0.5706452,63.40931,117.4676,323.6448
4.118844,0.3568054,1.002013,-0.5706543,63.40717,117.4539,323.6244
4.130159,0.3567874,1.002039,-0.5706726,63.40638,117.4581,323.6346
4.14233,0.3567888,1.002061,-0.5706955,63.41724,117.4731,323.6434
4.154278,0.3567835,1.002078,-0.5706936,63.41037,117.4742,323.6489
4.167497,0.356756,1.002056,-0.5706879,63.41133,117.4695,323.6387
4.1854,0.356734,1.002057,-0.5707124,63.41816,117.4704,323.6396
4.197019,0.3567245,1.002049,-0.5706745,63.4142,117.4662,323.6412
4.209237,0.356697,1.002014,-0.5706326,63.415,117.4584,323.64
4.220516,0.3566811,1.002013,-0.5706381,63.42047,117.4587,323.6305
4.231401,0.3566679,1.002025,-0.5707165,63.41943,117.4774,323.6512
4.243638,0.3566526,1.002018,-0.5707308,63.41254,117.4651,323.6454
4.254262,0.3566139,1.002069,-0.5707105,63.43016,117.4654,323.6334
4.266265,0.3566011,1.002068,-0.5707213,63.42915,117.4808,323.6511
4.278754,0.3566273,1.002025,-0.5706826,63.41716,117.4598,323.6308
4.296293,0.3565974,1.001993,-0.5706416,63.42219,117.4644,323.6351
4.307962,0.3566173,1.001984,-0.57063,63.42196,117.4617,323.627
4.320279,0.3566096,1.001974,-0.5706428,63.42424,117.4731,323.6316
4.331501,0.3566591,1.001993,-0.5706309,63.42055,117.4383,323.6002
4.343298,0.3566569,1.001967,-0.5706273,63.41231,117.4514,323.6187
4.354067,0.3566345,1.001955,-0.5706309,63.41785,117.4674,323.6395
4.365518,0.3566356,1.001953,-0.57064,63.41672,117.4696,323.6411
4.378557,0.3566327,1.001938,-0.5706543,63.41917,117.4455,323.6151
4.392037,0.3566028,1.001931,-0.5706242,63.41164,117.4507,323.6143
4.409007,0.3566226,1.001943,-0.5706657,63.40962,117.467,323.6306
4.420303,0.3566009,1.001935,-0.5706655,63.41266,117.4492,323.6217
4.431189,0.3566345,1.001973,-0.5707041,63.39719,117.4389,323.6147
4.443783,0.3566127,1.001984,-0.5707237,63.41046,117.4405,323.6146
4.456181,0.3566059,1.001981,-0.5707122,63.41293,117.4684,323.6412
4.474205,0.3566332,1.001969,-0.5707251,63.40543,117.4525,323.6223
4.487421,0.3566507,1.001973,-0.570711,63.39931,117.4448,323.6306
4.500476,0.3566589,1.002007,-0.5707365,63.40143,117.4583,323.6282
4.519553,0.356656,1.002023,-0.5707458,63.40886,117.4592,323.6334
4.531914,0.3566645,1.001993,-0.5707301,63.41082,117.4562,323.6287
4.545164,0.3566547,1.002042,-0.5707325,63.4128,117.4274,323.6029
4.563868,0.356653,1.002032,-0.5707585,63.40829,117.4542,323.6214
4.57742,0.3566742,1.002048,-0.5707446,63.40498,117.4441,323.6201
4.597405,0.356682,1.002055,-0.5707642,63.40534,117.4558,323.6337
4.609136,0.3566998,1.00201,-0.5707346,63.39442,117.434,323.6106
4.620983,0.3567054,1.00203,-0.5707482,63.41108,117.4479,323.6221
4.633028,0.3566495,1.002012,-0.5707182,63.40837,117.4489,323.6291
4.653861,0.356648,1.002031,-0.570722,63.41603,117.4279,323.6036
4.666094,0.3566821,1.001959,-0.5707392,63.40321,117.4414,323.6197
4.687372,0.3566777,1.001995,-0.5707546,63.40612,117.4347,323.6125
4.699083,0.3566747,1.001997,-0.5707661,63.4074,117.4403,323.6173
4.711035,0.3566465,1.001966,-0.5706738,63.39993,117.4157,323.5953
4.731582,0.3566426,1.002024,-0.5707065,63.40009,117.4296,323.6052
4.743396,0.3566506,1.00203,-0.5707113,63.39953,117.4215,323.6004
4.756359,0.356662,1.001965,-0.5707051,63.39724,117.4253,323.6059
4.776237,0.3566258,1.00201,-0.5706667,63.39625,117.4199,323.6033
4.791118,0.3566006,1.002021,-0.5706877,63.40086,117.4125,323.5858
4.809561,0.3565699,1.002002,-0.5706681,63.40286,117.4178,323.597
4.820685,0.356569,1.001999,-0.5706743,63.40039,117.4398,323.6237
4.832106,0.3565811,1.001984,-0.5706924,63.40303,117.4282,323.6094
4.844395,0.3566035,1.001966,-0.5706755,63.39602,117.4185,323.5994
4.865534,0.3566097,1.00197,-0.5706819,63.40023,117.43,323.6138
4.877997,0.3566037,1.001998,-0.5706598,63.39837,117.4408,323.6214
4.898607,0.356622,1.001994,-0.5706559,63.38931,117.4457,323.6254
4.911363,0.3566274,1.001983,-0.5706292,63.39399,117.4374,323.6148
4.931918,0.3566309,1.001977,-0.5706512,63.40872,117.4548,323.6235
4.944067,0.3566214,1.001977,-0.5706183,63.40012,117.4297,323.5953
4.965089,0.3566388,1.001981,-0.5706328,63.40492,117.4333,323.6102
