time,rot.x,rot.y,rot.z
33.19482,-4.102448,15.54652,-2.009003
33.2,-4.102448,15.54652,-2.009003
33.21111,-4.102448,15.54652,-2.009003
33.22222,-4.102448,15.54652,-2.009003
33.23333,-4.102448,15.54652,-2.009003
33.24035,-4.03537,15.45452,-1.99527
33.25556,-4.03537,15.45452,-1.99527
33.26667,-4.004364,15.43191,-1.989075
33.27606,-4.01297,15.40915,-1.991974
33.28889,-4.01297,15.40915,-1.991974
33.29951,-4.016113,15.39184,-1.990997
33.3,-4.016113,15.39184,-1.990997
33.31111,-4.016113,15.39184,-1.990997
33.32222,-4.016113,15.39184,-1.990997
33.33334,-3.995178,15.36664,-1.982666
33.34353,-3.968445,15.3709,-1.97641
33.35556,-3.968445,15.3709,-1.97641
33.36441,-3.973724,15.36619,-1.975891
33.37778,-3.973724,15.36619,-1.975891
33.3868,-3.997009,15.34946,-1.978668
33.4,-3.997009,15.34946,-1.978668
33.40956,-3.976807,15.31802,-1.970673
33.41111,-3.976807,15.31802,-1.970673
33.42222,-3.976807,15.31802,-1.970673
33.43117,-3.960907,15.30494,-1.967743
33.44445,-3.960907,15.30494,-1.967743
33.45336,-3.948029,15.26963,-1.963043
33.46667,-3.948029,15.26963,-1.963043
33.47778,-3.948029,15.26963,-1.963043
33.48128,-3.956909,15.27491,-1.967438
33.49857,-4.240692,15.30961,-1.971375
33.5,-4.240692,15.30961,-1.971375
33.51111,-4.240692,15.30961,-1.971375
33.52022,-4.857635,15.36386,-1.982941
33.53333,-4.857635,15.36386,-1.982941
33.54232,-5.250031,15.42035,-1.980042
33.55556,-5.250031,15.42035,-1.980042
33.56282,-5.577393,15.43512,-1.980194
33.57778,-5.577393,15.43512,-1.980194
33.5867,-5.949554,15.42824,-1.979004
33.6,-5.949554,15.42824,-1.979004
33.60816,-6.235077,15.43395,-1.979004
33.61111,-6.235077,15.43395,-1.979004
33.62222,-6.235077,15.43395,-1.979004
33.63334,-6.235077,15.43395,-1.979004
33.64444,-6.576324,15.44284,-1.982086
33.65379,-6.723999,15.4623,-1.979614
33.66667,-6.723999,15.4623,-1.979614
33.67495,-6.897491,15.46704,-1.980896
33.68889,-6.897491,15.46704,-1.980896
33.69637,-7.036224,15.45091,-1.976868
33.7,-7.036224,15.45091,-1.976868
33.71111,-7.036224,15.45091,-1.976868
33.72179,-7.183197,15.42087,-1.973877
33.73333,-7.183197,15.42087,-1.973877
33.74195,-7.296417,15.39701,-1.974182
33.75556,-7.296417,15.39701,-1.974182
33.76322,-7.605865,15.44147,-1.983978
33.77778,-7.605865,15.44147,-1.983978
33.78889,-7.605865,15.44147,-1.983978
33.79146,-8.461456,15.3933,-1.974731
33.8,-8.461456,15.3933,-1.974731
33.81111,-8.908386,15.4216,-1.979462
33.82222,-8.908386,15.4216,-1.979462
33.83028,-9.4245,15.44392,-1.986664
33.84444,-9.4245,15.44392,-1.986664
33.85214,-10.32745,15.51211,-2.007355
33.86667,-10.32745,15.51211,-2.007355
33.87524,-11.04651,15.53111,-2.008667
33.88889,-11.04651,15.53111,-2.008667
33.89733,-11.67593,15.52032,-2.009796
33.9,-11.67593,15.52032,-2.009796
33.91111,-11.67593,15.52032,-2.009796
33.92222,-12.18253,15.5025,-2.0112
33.93333,-12.18253,15.5025,-2.0112
33.94445,-12.18253,15.5025,-2.0112
33.95555,-12.75842,15.50499,-2.012695
33.9639,-13.02933,15.50022,-2.013
33.97778,-13.02933,15.50022,-2.013
33.98615,-13.38327,15.4867,-2.018585
34,-13.38327,15.4867,-2.018585
34.00788,-13.66403,15.48467,-2.022888
34.01111,-13.66403,15.48467,-2.022888
34.02222,-13.66403,15.48467,-2.022888
34.03019,-13.89127,15.48237,-2.021362
34.04445,-13.89127,15.48237,-2.021362
34.05267,-14.09103,15.48912,-2.025757
34.06667,-14.09103,15.48912,-2.025757
34.07567,-14.23492,15.51316,-2.026428
34.08889,-14.23492,15.51316,-2.026428
34.1,-14.23492,15.51316,-2.026428
34.10148,-14.40323,15.54731,-2.035736
34.11111,-14.40323,15.54731,-2.035736
34.12222,-14.49582,15.56557,-2.041199
34.13334,-14.49582,15.56557,-2.041199
34.14099,-14.59103,15.57118,-2.043762
34.15556,-14.59103,15.57118,-2.043762
34.16315,-14.65524,15.59562,-2.043976
34.17778,-14.65524,15.59562,-2.043976
34.18526,-14.68988,15.62032,-2.041718
34.2,-14.68988,15.62032,-2.041718
34.20816,-14.76569,15.63666,-2.051514
34.21111,-14.76569,15.63666,-2.051514
34.22222,-14.76569,15.63666,-2.051514
34.23333,-14.76569,15.63666,-2.051514
34.24445,-14.80652,15.64128,-2.051025
34.25556,-14.80652,15.64128,-2.051025
34.26667,-14.84222,15.65532,-2.052185
34.27458,-14.76617,15.58929,-2.05246
34.28889,-14.76617,15.58929,-2.05246
34.29625,-14.40543,15.39808,-2.035126
34.3,-14.40543,15.39808,-2.035126
34.31111,-14.40543,15.39808,-2.035126
34.32222,-13.97455,15.2642,-2.019531
34.33334,-13.97455,15.2642,-2.019531
34.34055,-13.60742,15.11085,-2.003876
34.35556,-13.60742,15.11085,-2.003876
34.3629,-13.25937,14.97149,-1.985321
34.37778,-13.25937,14.97149,-1.985321
34.38496,-12.95364,14.86154,-1.969666
34.4,-12.95364,14.86154,-1.969666
