time,rot.x,rot.y,rot.z
21.88243,6.031044,-1.667328,-0.1526489
21.9,6.031044,-1.667328,-0.1526489
21.91111,6.031044,-1.667328,-0.1526489
21.92222,6.031044,-1.667328,-0.1526489
21.93333,6.031044,-1.667328,-0.1526489
21.93519,6.028665,-1.563477,-0.1434021
21.94444,6.028665,-1.563477,-0.1434021
21.95328,6.014875,-1.543579,-0.1412048
21.96667,6.014875,-1.543579,-0.1412048
21.97572,6.001851,-1.525269,-0.1393738
21.98889,6.001851,-1.525269,-0.1393738
21.99812,5.993823,-1.492004,-0.136261
22,5.993823,-1.492004,-0.136261
22.01111,5.993823,-1.492004,-0.136261
22.02222,5.993823,-1.492004,-0.136261
22.03333,6.004544,-1.441498,-0.1320496
22.04445,6.004544,-1.441498,-0.1320496
22.05556,6.010523,-1.424377,-0.1306763
22.06555,6.004369,-1.40509,-0.1286621
22.07778,6.004369,-1.40509,-0.1286621
22.08698,5.999678,-1.364044,-0.125
22.1,5.999678,-1.364044,-0.125
22.10878,5.982685,-1.334076,-0.1220703
22.11111,5.982685,-1.334076,-0.1220703
22.12222,5.982685,-1.334076,-0.1220703
22.13164,5.96591,-1.322845,-0.1209106
22.14445,5.96591,-1.322845,-0.1209106
22.15289,5.979185,-1.297699,-0.118927
22.16667,5.979185,-1.297699,-0.118927
22.17778,5.979185,-1.297699,-0.118927
22.18073,5.984923,-1.246643,-0.1143494
22.19931,5.986276,-1.21579,-0.1116028
22.2,5.986276,-1.21579,-0.1116028
22.21111,5.986276,-1.21579,-0.1116028
22.22222,5.971403,-1.177246,-0.1077881
22.23333,5.971403,-1.177246,-0.1077881
22.24237,5.960184,-1.140991,-0.1042786
22.25556,5.960184,-1.140991,-0.1042786
22.26473,5.962025,-1.130127,-0.103302
22.27778,5.962025,-1.130127,-0.103302
22.2869,5.963367,-1.108978,-0.1012268
22.3,5.963367,-1.108978,-0.1012268
22.30877,5.968807,-1.102844,-0.100769
22.31111,5.968807,-1.102844,-0.100769
22.32222,5.968807,-1.102844,-0.100769
22.33333,5.968807,-1.102844,-0.100769
22.34444,5.947723,-1.02948,-0.09371948
22.35337,5.944311,-1.006897,-0.09155273
22.36667,5.944311,-1.006897,-0.09155273
22.37537,5.943235,-0.9634094,-0.08755493
22.38889,5.943235,-0.9634094,-0.08755493
