time,rot.x,rot.y,rot.z
16.9032,1.234601,0.4071981,3.490485E-05
16.91111,1.234601,0.4071981,3.490485E-05
16.92222,1.234601,0.4071981,3.490485E-05
16.93333,1.234601,0.4071981,3.490485E-05
16.94289,1.280133,0.3308354,0.0005053348
16.95556,1.280133,0.3308354,0.0005053348
16.96667,1.280133,0.3308354,0.0005053348
16.97579,1.267222,0.3069276,0.0006260434
16.98889,1.267222,0.3069276,0.0006260434
16.99409,1.318519,0.4137737,0.001158861
17,1.318519,0.4137737,0.001158861
17.01111,1.318519,0.4137737,0.001158861
17.02222,1.332531,0.560182,0.001978909
17.03194,1.496041,0.5558692,0.00255001
17.04445,1.496041,0.5558692,0.00255001
17.05405,1.502866,0.6638741,0.003049803
17.06667,1.502866,0.6638741,0.003049803
17.07641,1.480014,0.7362469,0.003552127
17.08889,1.480014,0.7362469,0.003552127
17.09849,1.453244,0.405703,0.002330064
17.1,1.453244,0.405703,0.002330064
17.11111,1.453244,0.405703,0.002330064
17.12222,1.453244,0.405703,0.002330064
17.13333,1.500151,0.1781567,0.001075876
17.14445,1.500151,0.1781567,0.001075876
17.15556,1.413487,0.1618992,0.0008822648
17.16595,1.40015,0.1170641,0.0006148081
17.17778,1.40015,0.1170641,0.0006148081
17.18694,1.319943,0.07999682,0.0004039945
17.2,1.319943,0.07999682,0.0004039945
17.20953,1.359418,0.08370194,0.0004476224
17.21111,1.359418,0.08370194,0.0004476224
17.22222,1.359418,0.08370194,0.0004476224
17.23136,1.405017,0.08936497,0.000500548
17.24445,1.405017,0.08936497,0.000500548
17.25379,1.38264,0.08545367,0.0004822955
17.26667,1.38264,0.08545367,0.0004822955
17.27778,1.38264,0.08545367,0.0004822955
17.28224,1.364831,0.1243036,0.0006700426
17.3,1.364831,0.1243036,0.0006700426
17.3008,1.460781,0.1184654,0.0006230821
17.31111,1.460781,0.1184654,0.0006230821
17.32046,1.501504,0.1208936,0.0006677239
17.33333,1.501504,0.1208936,0.0006677239
17.344,1.537816,0.1412943,0.0008356682
17.35556,1.537816,0.1412943,0.0008356682
17.36495,1.60978,0.1036315,0.0006730933
17.37778,1.60978,0.1036315,0.0006730933
17.38742,1.627213,0.07693118,0.0005041406
17.4,1.627213,0.07693118,0.0005041406
17.41062,1.634201,0.01466819,9.998032E-05
17.41062,1.634201,0.01466819,9.998032E-05
17.42222,1.634201,0.01466819,9.998032E-05
17.43333,1.634201,0.01466819,9.998032E-05
17.44444,1.650892,0.07673134,0.0005093339
17.45407,1.61982,0.1402385,0.0008005018
17.46667,1.61982,0.1402385,0.0008005018
17.47778,1.61982,0.1402385,0.0008005018
17.48889,1.576497,0.1811038,0.0009526848
17.49804,1.585589,0.2494264,0.001286383
17.5,1.585589,0.2494264,0.001286383
17.51111,1.585589,0.2494264,0.001286383
17.52023,1.619268,0.355939,0.001910504
17.53333,1.619268,0.355939,0.001910504
17.54338,1.634142,0.4307542,0.002394617
17.55556,1.634142,0.4307542,0.002394617
17.56491,1.629097,0.3648818,0.002023168
17.57778,1.629097,0.3648818,0.002023168
17.58889,1.629097,0.3648818,0.002023168
17.59352,1.658579,0.4010804,0.002050585
17.6,1.658579,0.4010804,0.002050585
17.61111,1.658579,0.4010804,0.002050585
17.62222,1.769655,0.3595591,0.002065324
17.63154,1.865961,0.2076124,0.001240156
17.64445,1.865961,0.2076124,0.001240156
17.65377,1.666267,0.3300333,0.002139983
17.66667,1.666267,0.3300333,0.002139983
17.67637,0.4048177,0.2276796,0.001458304
17.68889,0.4048177,0.2276796,0.001458304
17.69793,0.3217612,0.4530621,0.002710309
17.7,0.3217612,0.4530621,0.002710309
17.71111,0.3217612,0.4530621,0.002710309
17.72067,0.3162111,0.6486238,0.003912369
17.73333,0.3162111,0.6486238,0.003912369
17.74445,0.3162111,0.6486238,0.003912369
17.75556,-1.909882,0.7876007,0.004602248
17.76629,-1.373749,1.448071,0.007881034
17.77778,-1.373749,1.448071,0.007881034
17.78708,-1.626526,1.370703,0.007403852
17.8,-1.626526,1.370703,0.007403852
17.80971,-1.667755,1.49608,0.006973513
17.81111,-1.667755,1.49608,0.006973513
17.82222,-1.667755,1.49608,0.006973513
17.83176,-1.381531,1.459648,0.006152556
17.84444,-1.381531,1.459648,0.006152556
17.85381,-1.445007,1.389584,0.005256697
17.86667,-1.445007,1.389584,0.005256697
17.87766,-1.633179,1.370953,0.004612999
17.88889,-1.633179,1.370953,0.004612999
17.9,-1.633179,1.370953,0.004612999
17.90731,-1.606812,1.336205,0.003899809
17.91111,-1.606812,1.336205,0.003899809
