time,pos.x,pos.y,pos.z,rot.x,rot.y,rot.z
310.3459,35.9822,1.784845,28.20085,5.269712,6.773935,0.2992449
310.4017,35.98686,1.784866,28.31238,6.078788,3.362898,0.1578148
310.4279,35.98961,1.784769,28.36474,6.481681,1.122696,0.05272824
310.4512,35.99237,1.785509,28.41107,5.349158,-3.189484,-0.1472473
310.4759,35.99568,1.787488,28.45938,5.687389,-6.178284,-0.2880859
310.5063,35.99921,1.789261,28.51581,5.76829,-3.453796,-0.1740417
310.5313,36.00294,1.791809,28.56116,5.707653,-9.465454,-0.5310669
310.5611,36.00648,1.793445,28.61279,5.456199,-9.802856,-0.6175537
310.5835,36.00914,1.794973,28.65076,7.343999,-10.44562,-0.7765808
310.6061,36.01148,1.795666,28.68782,8.958742,-8.16925,-0.6621399
310.6291,36.01308,1.794932,28.72528,8.56612,-8.458618,-0.6724243
310.6612,36.01477,1.794119,28.77398,8.94658,-5.728577,-0.4491882
310.6841,36.01553,1.793282,28.80828,8.753566,-3.604004,-0.2763977
310.7071,36.01564,1.791775,28.84265,8.23441,-0.9397888,-0.06613159
310.7391,36.01664,1.790353,28.88643,6.806529,4.151908,0.269917
310.7648,36.01692,1.787702,28.9217,5.437689,7.470906,0.4378929
310.7937,36.01772,1.78558,28.95926,4.315566,12.01377,0.605929
310.8177,36.01846,1.783873,28.99036,3.636797,13.83111,0.6116457
310.8395,36.0197,1.782776,29.01878,2.981863,13.7911,0.5727573
310.863,36.02249,1.78194,29.04953,3.44177,14.24908,0.6049429
310.8934,36.02607,1.781674,29.08918,3.410009,13.30036,0.5695835
310.9162,36.02967,1.782152,29.11967,3.903096,12.18385,0.5499516
310.9397,36.03364,1.782961,29.15173,4.430864,10.19076,0.4994879
310.9624,36.03907,1.783955,29.18431,5.173069,8.1705,0.436173
310.994,36.04387,1.784487,29.22918,5.48306,6.098314,0.3253892
311.0167,36.04756,1.785257,29.26244,5.967774,4.179851,0.216132
311.0392,36.05059,1.785903,29.29604,5.837302,1.846965,0.0931395
311.0611,36.05303,1.785113,29.32985,5.744019,1.630093,0.08240773
311.0835,36.05466,1.782767,29.36572,5.839786,1.310495,0.06373287
311.1086,36.05545,1.779887,29.40917,4.874782,1.264251,0.05551512
311.1386,36.0555,1.779052,29.46698,4.620653,-0.5750732,-0.02493286
311.1614,36.05527,1.77826,29.51307,4.380573,1.646008,0.06659733
311.185,36.05392,1.777589,29.56187,4.717484,3.124513,0.1160694
311.217,36.05231,1.778216,29.63301,3.478303,10.03044,0.3227594
311.2415,36.04958,1.779874,29.6879,2.937772,13.11447,0.4218676
311.2734,36.04751,1.780997,29.76137,3.274707,15.1638,0.579248
311.3048,36.04663,1.780948,29.83465,3.577089,16.03819,0.6365414
311.3289,36.04592,1.779703,29.89071,4.188112,15.92274,0.5698057
311.3629,36.04568,1.778106,29.96925,3.984992,14.75076,0.5407413
311.3931,36.04553,1.777044,30.0382,4.742053,12.38746,0.4802654
311.4157,36.04538,1.775754,30.08928,5.218119,10.7741,0.4444598
311.4394,36.04524,1.774107,30.14165,5.116541,8.956999,0.3680719
311.4637,36.04454,1.771587,30.19434,4.719528,6.829248,0.2495669
311.4948,36.04366,1.770945,30.25946,4.340143,5.031133,0.1773339
311.5184,36.0421,1.770776,30.30908,4.649638,3.85224,0.1362682
311.5504,36.041,1.770551,30.37488,4.170353,4.491079,0.1424041
311.572,36.03979,1.770559,30.42033,4.361444,4.923059,0.148819
311.5962,36.03822,1.77113,30.47336,3.956231,5.638236,0.1659884
311.6277,36.0373,1.771359,30.54599,4.015173,5.923305,0.1825202
311.6509,36.036,1.771266,30.60257,4.465276,5.437391,0.1735096
311.6832,36.03542,1.770947,30.68491,4.313086,4.928707,0.1557451
311.7057,36.03477,1.769443,30.74358,3.842222,6.323953,0.1902552
311.7297,36.03433,1.766436,30.80662,3.11909,5.257702,0.1225573
311.7615,36.03445,1.764109,30.88963,2.875119,3.718919,0.04780938
311.784,36.03493,1.762376,30.94719,2.283856,3.147148,0.01973447
311.8066,36.03611,1.761613,31.00329,2.358173,-0.7570496,0.003840449
311.8382,36.03741,1.762495,31.07905,0.5933536,2.040212,-0.005162651
311.8628,36.03962,1.765485,31.13631,0.8119087,1.427492,0.007927701
311.8941,36.041,1.767879,31.20932,1.708464,1.0025,0.0163066
311.9162,36.04208,1.770084,31.26143,3.690244,1.032416,0.03187839
311.9544,36.04331,1.773207,31.35424,6.565271,-2.528778,-0.1148987
311.9838,36.04392,1.77405,31.42693,7.234104,-0.7420044,-0.02832031
312.0063,36.04502,1.774765,31.48462,7.871881,0.3309185,0.02841058
312.0382,36.04573,1.775224,31.56432,9.112649,-0.1950684,0.01301293
312.0618,36.04643,1.775225,31.62386,9.126126,-0.188446,0.01395234
312.0837,36.04712,1.775308,31.67904,7.980649,-0.270874,0.0009077586
312.1069,36.0482,1.775822,31.73842,8.042469,-1.816833,-0.09384155
312.1373,36.04908,1.775136,31.81367,6.905697,-0.7417908,-0.0411377
312.1612,36.05009,1.77383,31.8728,7.070787,-0.9128723,-0.04763794
312.1854,36.05192,1.771172,31.93436,7.548802,-0.5265503,-0.02081299
312.216,36.05332,1.769009,32.01128,6.787932,1.494569,0.08241002
312.2388,36.05473,1.76669,32.07086,8.037348,0.4817258,0.03938045
312.2607,36.05619,1.764693,32.12988,7.477016,2.342103,0.1168236
312.284,36.05853,1.763126,32.19473,5.887237,13.19309,0.439457
312.3147,36.06006,1.761757,32.27852,4.766529,15.0103,0.3654589
312.3387,36.06152,1.760692,32.34249,4.43681,14.81087,0.1454891
312.3608,36.06301,1.760246,32.39933,3.20496,14.66283,-0.07046509
312.3835,36.06492,1.759334,32.45273,1.310325,14.13635,-0.3424072
312.4152,36.0662,1.759383,32.52146,0.3504864,13.52072,-0.4045715
312.4387,36.06753,1.760456,32.56792,0.1314368,12.7567,-0.3908081
312.4601,36.06887,1.761765,32.60702,0.4914868,12.25798,-0.3315735
312.4821,36.0703,1.763296,32.64529,1.019262,11.75611,-0.2523804
312.5042,36.07159,1.765003,32.6828,3.236881,11.40405,-0.1560364
312.5269,36.07266,1.766782,32.7202,4.512542,11.05572,-0.0614624
312.5502,36.07389,1.770557,32.75647,6.507447,11.51584,0.1001858
312.582,36.07439,1.773829,32.80877,8.835913,10.98202,0.244111
312.6041,36.07452,1.77685,32.84443,10.31311,11.11107,0.3879546
312.6262,36.07433,1.779532,32.88004,10.60061,12.21983,0.5037225
312.6488,36.07398,1.781923,32.91639,11.05305,12.39037,0.5887042
312.6713,36.07367,1.784089,32.95253,12.82564,11.70361,0.6710335
312.693,36.07328,1.785242,32.98654,13.34737,11.12654,0.6878002
312.7151,36.07275,1.785446,33.01995,12.69519,10.38077,0.6201501
312.739,36.07208,1.785006,33.05431,12.09082,9.487761,0.544866
312.7615,36.07089,1.783713,33.08485,11.57644,9.062928,0.5034428
312.7928,36.0699,1.782284,33.12494,10.23224,6.457634,0.35906
312.8154,36.06882,1.780571,33.15162,10.83337,-6.52594,-0.3312683
312.8379,36.06749,1.778482,33.17637,9.085708,-6.609711,-0.2984009
312.8604,36.06575,1.776801,33.19918,6.753705,-6.450775,-0.2309875
312.8846,36.06274,1.775222,33.22236,5.986313,-5.909302,-0.1365051
312.9162,36.0601,1.774627,33.2508,6.869886,-4.288788,-0.06903076
312.9392,36.0564,1.775182,33.27103,5.960127,-2.82254,-0.04754639
312.9706,36.05462,1.77606,33.29836,6.215389,-1.147858,-0.01187134
312.9932,36.05297,1.776737,33.31829,6.245614,-0.2242432,0.009618618
313.0158,36.0517,1.777093,33.33873,6.640431,1.159186,0.05410844
313.0386,36.0508,1.777306,33.36035,7.069462,2.200741,0.0929943
313.0609,36.05024,1.777426,33.38301,7.530162,3.262768,0.1333736
313.0848,36.04941,1.778346,33.40911,8.410362,3.781996,0.164986
313.1143,36.04986,1.779853,33.4448,8.849375,3.617823,0.1732643
313.1382,36.05042,1.782331,33.47671,8.866059,2.303602,0.1319588
313.1607,36.05115,1.784744,33.5086,10.08418,1.754643,0.1228368
313.1826,36.05228,1.786699,33.54276,9.945271,1.100206,0.08575062
313.2063,36.05385,1.787663,33.58346,10.04074,0.2097741,0.03439336
313.2372,36.05664,1.786963,33.64335,9.773308,-1.180237,-0.04821777
313.26,36.05914,1.785725,33.69081,10.68791,-2.406464,-0.1164246
313.2829,36.06271,1.784465,33.74236,11.9368,-4.141083,-0.1969604
313.3064,36.06823,1.782721,33.79776,9.508363,-0.3894653,0.008151911
313.3372,36.07604,1.782277,33.87247,7.380108,14.88188,0.4638081
313.3607,36.08403,1.783411,33.92933,8.380438,21.3405,0.6316539
313.393,36.09375,1.785322,34.00723,8.750836,21.7047,0.7264848
313.4155,36.10132,1.787714,34.05961,9.451781,18.53994,0.7553334
313.4378,36.10912,1.790264,34.11027,10.11572,18.94451,0.9050005
313.46,36.11701,1.792471,34.15907,10.71893,17.99117,1.019152
313.4832,36.12695,1.79463,34.20808,12.42835,17.127,1.171632
313.5151,36.13688,1.795445,34.27246,13.49487,15.56151,1.166179
313.539,36.14722,1.79527,34.31927,13.83578,13.91432,1.107663
313.5717,36.15738,1.794349,34.37965,14.49676,11.42012,0.9382067
313.5937,36.16574,1.793228,34.41887,14.32499,9.39618,0.7671129
313.616,36.17429,1.792293,34.4574,13.60748,7.434376,0.599676
313.6367,36.1827,1.791595,34.49174,13.89649,4.042931,0.3743041
313.6588,36.1915,1.790743,34.527,13.94524,2.285407,0.2506267
313.6813,36.20035,1.789533,34.56108,13.96151,0.4895595,0.1200135
313.7046,36.20928,1.787967,34.5957,13.85512,-0.7828369,0.04009881
313.7277,36.2213,1.786035,34.62854,13.29819,1.255056,0.1811622
313.759,36.2317,1.784742,34.67247,15.78928,6.740898,0.5602987
313.7817,36.24076,1.783244,34.70343,15.78928,6.740898,0.5602987
313.8034,36.2496,1.781389,34.73249,15.78928,6.740898,0.5602987
313.8266,36.25863,1.779457,34.76346,15.78928,6.740898,0.5602987
313.8498,36.27061,1.776717,34.79451,15.78928,6.740898,0.5602987
313.8967,36.28853,1.774579,34.85831,13.8741,11.49964,0.1236445
313.9252,36.29823,1.774812,34.89818,11.18432,12.10576,-0.1203918
313.9469,36.30704,1.77589,34.92962,10.06565,11.65681,-0.1798096
313.9709,36.31612,1.777274,34.96566,9.796824,11.94375,-0.2226257
313.9922,36.32438,1.777973,34.99872,9.542614,12.01343,-0.2528687
314.0145,36.33237,1.777343,35.03551,9.76264,11.14764,-0.2112427
314.0375,36.34037,1.776084,35.07644,10.86842,11.46401,-0.1932068
314.0594,36.34832,1.775293,35.11785,11.86558,12.43958,-0.2318115
314.0822,36.3566,1.774653,35.16333,11.69742,11.97687,-0.2779541
314.105,36.36609,1.772711,35.20835,11.17742,10.697,-0.3576355
314.1363,36.37651,1.771643,35.27226,11.50333,8.468561,-0.2125549
314.1596,36.38569,1.771129,35.31882,10.79963,8.642304,-0.3205872
314.1814,36.39518,1.77118,35.36103,10.42653,8.569413,-0.3466187
314.2036,36.4053,1.771434,35.40191,10.44657,8.531495,-0.3283997
314.2252,36.41595,1.771894,35.43988,10.76641,8.091786,-0.2380981
314.2491,36.42942,1.772227,35.47889,12.23624,7.287891,-0.02294922
314.2808,36.44454,1.771601,35.52964,13.36215,6.756131,0.1037733
314.303,36.45632,1.770997,35.56243,14.07912,5.415121,0.2610437
314.326,36.46855,1.770357,35.59432,14.79766,4.513028,0.384516
314.3475,36.48057,1.769862,35.62179,14.61055,5.051757,0.2999457
314.3701,36.49308,1.769639,35.64873,11.64156,12.48048,-0.7893066
314.3931,36.50589,1.769838,35.67515,11.4119,14.87608,-1.104797
314.4164,36.52036,1.770268,35.69746,11.97936,14.00789,-0.8792725
314.4474,36.53784,1.770001,35.72993,12.20513,13.17444,-0.7245178
314.4696,36.5513,1.769694,35.75105,13.7999,11.25847,-0.3657532
314.4909,36.56495,1.769176,35.7703,14.19843,10.11489,-0.2218628
314.5143,36.58023,1.768462,35.79118,15.01048,8.619349,-0.03936768
314.5384,36.59706,1.767571,35.80972,15.17462,6.282613,0.1312512
314.5605,36.61224,1.767416,35.82801,14.08944,11.03483,-0.4974365
314.5924,36.63499,1.767759,35.85585,12.4445,16.35944,-1.331085
314.6154,36.65243,1.768507,35.87293,12.86756,18.11021,-1.543152
314.6375,36.66965,1.769419,35.88871,12.74762,17.74337,-1.451599
314.6599,36.68755,1.770294,35.90408,13.29566,15.72298,-1.091003
314.6823,36.70613,1.77126,35.91574,14.41947,14.23316,-0.7350159
314.7134,36.73175,1.77166,35.93659,14.79595,13.04932,-0.5314331
314.7365,36.75098,1.771679,35.95042,16.37753,11.06246,-0.205719
314.7577,36.7689,1.771523,35.9624,17.15225,9.414841,-0.0006620932
314.7805,36.78827,1.771328,35.97511,17.52744,7.89198,0.1647502
314.8027,36.80799,1.771329,35.98652,18.97854,4.91119,0.4975778
314.8244,36.8271,1.771032,35.99767,19.58426,2.577112,0.6685272
314.8479,36.84801,1.770462,36.01024,19.69741,1.580867,0.7167948
314.869,36.86745,1.770113,36.02148,19.37572,-0.7161865,0.7899787
314.8906,36.88828,1.769693,36.0328,19.38447,-1.324066,0.7962356
314.9143,36.91195,1.769132,36.04563,19.38465,-1.739349,0.7800666
314.9361,36.93465,1.768609,36.05725,19.22364,-3.036102,0.8279522
314.9581,36.95844,1.768446,36.06885,16.99144,-3.236908,0.7455889
314.9812,36.98488,1.769506,36.08131,16.4591,-4.205231,0.813554
315.003,37.01097,1.771568,36.09283,16.37305,-3.382568,0.7266908
315.0246,37.03788,1.772943,36.1039,16.50137,-3.30838,0.6882125
315.0467,37.06543,1.773736,36.11489,16.42405,0.07794788,0.4043596
315.0696,37.09459,1.774145,36.12447,13.99746,5.919724,-0.1835022
315.0902,37.12032,1.773876,36.13236,14.87361,6.169126,-0.1802368
315.1133,37.14925,1.773118,36.14086,15.26373,6.73348,-0.2117004
315.1372,37.17869,1.772344,36.14897,15.34133,6.050216,-0.1703491
315.1589,37.20481,1.772431,36.15569,15.11562,5.578257,-0.1661377
315.1808,37.23074,1.773352,36.16037,15.02851,5.005122,-0.1564026
315.2025,37.25592,1.774704,36.16406,15.38634,4.707489,-0.1539307
315.2241,37.28045,1.776091,36.16726,15.32143,5.045447,-0.1921387
315.2456,37.30384,1.777271,36.17001,15.83783,5.093077,-0.1614075
315.2695,37.32903,1.778383,36.17302,15.60712,5.504489,-0.1572571
315.2928,37.35274,1.779772,36.17543,16.5575,5.609929,-0.08605957
315.3162,37.3752,1.78144,36.17725,17.4288,6.620042,-0.05834961
315.3461,37.40306,1.782017,36.18029,18.43972,6.863706,0.000316231
315.3685,37.42272,1.782284,36.18239,18.60437,6.759628,0.05573617
315.3925,37.44295,1.782285,36.18502,18.94769,6.686695,0.1166868
315.4143,37.46033,1.782417,36.18741,19.32177,6.852139,0.1650719
315.4368,37.47785,1.782378,36.18951,20.08598,6.64464,0.2381308
315.4569,37.49333,1.782417,36.19115,20.69492,6.50466,0.2836919
315.4803,37.51102,1.782213,36.19312,20.57827,6.809511,0.2779267
315.5034,37.52847,1.781875,36.19506,20.51876,6.919972,0.2886806
315.5272,37.54637,1.781092,36.19668,20.17988,8.106477,0.2489719
315.5576,37.56984,1.780953,36.19954,20.03546,8.296964,0.2349947
315.5807,37.58829,1.780955,36.20173,17.84669,9.102146,0.1037366
315.6027,37.6069,1.780868,36.20403,16.16191,9.742308,0.02343351
315.6273,37.62927,1.780364,36.20641,15.68119,10.43085,0.0070847
315.6602,37.66355,1.780279,36.21115,15.97995,10.25024,0.05811625
