time,pos.x,pos.y,pos.z,rot.x,rot.y,rot.z
170.7333,38.93118,6.369345,23.90781,42.45493,-1.633041,4.094606
170.7882,38.94537,6.375699,23.88924,43.32171,-3.262878,5.037863
170.816,38.95057,6.37796,23.88116,44.52171,-3.70636,5.013599
170.8389,38.95215,6.380004,23.87737,46.84524,-3.65271,4.898544
170.8595,38.95197,6.383385,23.87613,47.76047,-3.117142,4.588434
170.8821,38.95377,6.389138,23.87449,47.29607,-1.584213,5.07094
170.9054,38.95819,6.395507,23.87148,46.47361,-0.8898773,5.165213
170.9271,38.96074,6.397451,23.87166,46.28028,-0.6146851,5.70293
170.9509,38.96289,6.397658,23.8739,47.98368,-1.10112,6.005854
170.9736,38.96317,6.397793,23.87827,50.08893,-2.226196,4.622101
170.9961,38.9638,6.399661,23.88173,50.51126,-2.679535,3.506928
171.0182,38.965,6.403262,23.88391,50.479,-1.772446,3.740782
171.0389,38.96666,6.407614,23.88549,50.67556,-0.8252716,4.6099
171.0645,38.96806,6.411456,23.88807,50.87684,-0.4827728,4.978139
171.087,38.96878,6.413035,23.89073,51.01739,0.122879,5.300219
171.1075,38.97147,6.41735,23.89738,51.48714,1.314056,6.289496
171.1293,38.97424,6.420355,23.90118,51.29662,0.9934235,6.397228
171.1504,38.97534,6.422149,23.9063,50.87612,1.728516,7.274575
171.1716,38.9755,6.423639,23.91249,50.79311,2.421158,7.984288
171.194,38.97478,6.425123,23.92052,50.75519,2.560226,7.680326
171.2151,38.97434,6.427155,23.9288,50.21979,2.786346,7.394107
171.2389,38.97323,6.428981,23.93891,49.55534,3.007889,7.33019
171.2616,38.97147,6.431038,23.94906,49.16149,3.074768,7.386929
171.2822,38.96984,6.433796,23.95785,48.48867,3.492462,8.150198
171.3052,38.967,6.436142,23.96712,47.4273,3.841278,9.621161
171.3278,38.96402,6.438465,23.97595,46.42239,4.126846,10.58598
171.3504,38.96168,6.44149,23.98359,45.2142,4.857452,11.06498
171.372,38.95919,6.444986,23.9896,43.54782,5.778259,11.42623
171.3945,38.95699,6.448573,23.99433,41.01254,6.527206,11.67604
171.4174,38.95498,6.453598,23.99755,37.37417,7.578781,11.7513
171.4413,38.95214,6.458423,24.00119,34.04815,9.222519,11.82557
171.4647,38.94941,6.463768,24.00365,30.80383,10.80905,11.80015
171.4887,38.94687,6.469152,24.00535,27.56904,11.52853,11.83261
171.5164,38.9431,6.476564,24.00588,23.35841,11.62408,12.14498
171.5429,38.93966,6.479928,24.00691,21.45335,11.82799,12.19498
171.5712,38.93495,6.483767,24.00766,19.9043,12.96111,11.84426
171.5991,38.93085,6.487572,24.00764,18.10647,13.54633,11.37488
171.6334,38.92821,6.488843,24.00827,17.47264,13.93326,11.02381
171.6631,38.92451,6.492574,24.00732,16.95528,14.23412,10.15425
171.6998,38.92315,6.496658,24.00487,15.54384,13.87891,9.705758
171.7291,38.91937,6.504264,23.99806,12.72353,13.62956,8.596603
171.7697,38.91688,6.508919,23.9933,10.8957,13.38254,8.395811
171.7992,38.91103,6.516949,23.98307,6.860818,13.37105,7.376915
171.8362,38.90686,6.518986,23.97797,5.889597,13.24054,7.049768
171.8683,38.8922,6.526807,23.96377,2.337979,12.70103,7.956631
171.9132,38.88421,6.536199,23.95123,0.09620484,12.4707,7.335902
171.947,38.87552,6.545938,23.93909,-1.969604,13.17146,6.064337
171.9838,38.86836,6.556061,23.92237,-3.1604,14.05067,5.563745
172.0153,38.8609,6.56381,23.90751,-4.877045,14.35045,4.552417
172.0469,38.85455,6.570523,23.89175,-6.471283,14.78708,3.20875
172.0844,38.85138,6.579512,23.87117,-7.694336,16.58287,1.740136
172.1176,38.85083,6.588769,23.85154,-8.94165,18.42741,0.8038762
172.1501,38.85253,6.596236,23.83064,-11.33804,18.56476,1.570023
172.1843,38.85668,6.620595,23.808,-11.86823,18.76997,1.385993
172.2191,38.86184,6.664066,23.78473,-11.9895,18.2639,1.279255
172.2552,38.86768,6.699543,23.76034,-12.83127,17.49081,1.731851
172.2914,38.87257,6.729056,23.73597,-13.10278,15.64561,2.221324
172.327,38.87485,6.754281,23.71611,-14.7045,14.01833,1.168616
172.3831,38.88309,6.789891,23.67377,-15.125,12.80078,0.6816916
172.4193,38.88909,6.809293,23.64459,-15.06995,12.44781,0.6304028
172.4533,38.89685,6.826123,23.61262,-15.28137,11.18996,0.6652338
172.4885,38.90564,6.842052,23.57447,-15.75449,10.53287,0.7168114
172.5301,38.91557,6.857839,23.51916,-16.22318,9.164627,1.408191
172.5693,38.92891,6.866962,23.45973,-17.47598,6.723618,1.922927
172.6175,38.93544,7.002705,23.36312,-18.23187,3.929077,1.41229
172.6513,38.93805,7.074221,23.28878,-19.15195,2.765381,2.007395
172.6848,38.93708,7.122853,23.20878,-18.75903,1.610657,2.233984
172.7184,38.93578,7.153547,23.13236,-18.23724,0.812973,2.333549
172.7603,38.92799,7.240582,23.03381,-19.10431,-1.300156,2.137519
172.801,38.91852,7.347017,22.93769,-19.45575,-2.827118,2.146421
172.8327,38.90996,7.398042,22.8683,-20.55508,-4.459457,2.531031
172.8689,38.90108,7.432384,22.78986,-20.19739,-5.153442,1.324719
172.9123,38.88929,7.451374,22.69702,-20.46024,-6.720535,0.936007
172.9415,38.88165,7.52919,22.63333,-20.41965,-8.141464,0.7149052
172.9806,38.86869,7.61228,22.54196,-20.3074,-9.323837,1.541199
173.0244,38.85142,7.673564,22.43309,-20.43558,-9.856049,1.803513
173.0552,38.8381,7.691029,22.34162,-20.74872,-10.7133,1.837346
173.0896,38.82083,7.737784,22.2343,-21.03036,-11.4207,2.047778
173.12,38.80452,7.857361,22.12623,-22.02625,-12.24402,3.319079
173.1563,38.78637,7.943233,21.9972,-22.71182,-11.77545,3.850792
173.1859,38.77098,7.994432,21.8895,-21.29205,-12.51724,4.412515
173.2226,38.75414,8.114067,21.7619,-20.33966,-12.76706,4.60707
173.2498,38.74233,8.202459,21.6698,-19.33725,-13.96603,4.219616
173.2886,38.72794,8.26852,21.54983,-18.85251,-14.21732,3.412706
173.316,38.71894,8.29248,21.4684,-18.29544,-14.87297,3.811457
173.3532,38.70837,8.386803,21.36764,-17.65759,-14.58199,4.261485
173.379,38.70377,8.458302,21.30067,-17.21921,-14.30734,4.547887
173.4207,38.69701,8.526838,21.19951,-17.21567,-13.60031,4.226833
173.4464,38.69805,8.550373,21.13932,-17.17795,-13.6367,3.318583
173.4861,38.69516,8.571473,21.04832,-17.14029,-13.6076,3.103702
173.5148,38.6996,8.625473,20.98176,-16.84943,-13.98807,3.314104
173.5529,38.69856,8.723536,20.8917,-16.18707,-14.22182,3.406865
173.5785,38.70599,8.759475,20.82737,-15.78073,-15.60582,3.890411
173.6182,38.70502,8.803523,20.72386,-15.43439,-16.40535,4.632251
173.6446,38.7061,8.819252,20.65043,-14.62064,-16.93599,4.911993
173.6713,38.71383,8.873065,20.57347,-13.99753,-17.44331,4.972286
173.7073,38.71334,8.994429,20.47081,-13.38217,-17.59038,5.492941
173.7325,38.71503,9.047588,20.4002,-12.73352,-18.02893,5.664891
173.7578,38.72215,9.085268,20.33203,-11.99966,-19.46086,5.472215
173.7957,38.72162,9.113416,20.23422,-11.22284,-19.9864,5.768538
173.8194,38.72321,9.161097,20.1763,-10.87585,-20.98198,6.038543
173.8431,38.725,9.239463,20.12055,-10.50058,-22.00162,6.019736
173.8671,38.72892,9.293217,20.06954,-8.862579,-23.96973,4.868555
173.905,38.73125,9.349274,19.98734,-8.165344,-23.24629,4.334725
173.9291,38.73449,9.37368,19.93734,-7.573975,-23.4138,3.996062
173.9518,38.73837,9.390451,19.89132,-7.193451,-23.80252,3.849929
173.9739,38.74281,9.401853,19.84753,-7.018463,-23.92558,3.666162
173.9977,38.7477,9.430416,19.80171,-6.833038,-23.76274,3.266687
174.0201,38.7525,9.499481,19.75957,-6.769043,-23.61748,2.886916
174.0446,38.75931,9.550198,19.71576,-6.23233,-23.41916,2.351691
174.0825,38.76865,9.602941,19.64927,-5.617554,-22.16736,2.065648
174.1079,38.7755,9.627649,19.60661,-5.288605,-21.46671,1.751035
174.1329,38.78178,9.645633,19.5668,-5.229187,-20.41862,1.596158
174.1571,38.78757,9.658092,19.52936,-5.484619,-18.90253,2.432256
174.1923,38.7962,9.671415,19.48078,-5.500214,-17.42641,2.82656
174.2146,38.8016,9.676387,19.45045,-5.542786,-16.96471,2.956507
174.2388,38.80736,9.679905,19.4182,-5.789459,-16.92247,2.927118
174.2613,38.81245,9.694179,19.38786,-6.074677,-17.24391,2.97611
174.2831,38.81683,9.736005,19.35839,-5.793152,-17.81801,3.124368
174.3057,38.82067,9.770629,19.32744,-5.462372,-18.16106,3.203807
174.3256,38.82303,9.796217,19.29926,-4.957184,-18.34694,3.03322
174.348,38.82572,9.822413,19.26719,-4.412903,-18.28627,2.5944
174.3721,38.82878,9.84876,19.23118,-4.040588,-18.41547,2.049031
174.3935,38.83111,9.870607,19.19664,-3.973206,-18.63416,1.874285
174.4141,38.83311,9.890009,19.16094,-3.891296,-18.5891,1.797964
174.4383,38.837,9.91123,19.11692,-3.497894,-18.45398,1.376395
174.4591,38.84032,9.927763,19.07659,-2.788361,-18.42657,0.6616003
174.4814,38.84422,9.942518,19.03104,-2.148529,-18.99554,0.2901475
174.5036,38.8478,9.954494,18.9821,-1.810822,-20.10437,0.3778144
174.5269,38.85176,9.98462,18.92783,-1.533356,-20.67802,0.6090586
174.5493,38.85578,10.06421,18.87287,-1.099487,-21.0218,0.3879877
174.5719,38.86022,10.12069,18.81644,-0.4622192,-21.28529,-0.008148193
174.5944,38.86506,10.1635,18.75848,-0.1653748,-21.52692,-0.2493591
174.6169,38.87058,10.19627,18.69893,-0.02175903,-21.44507,-0.4276123
174.6393,38.87618,10.21983,18.63915,0.2107152,-21.03853,-0.7103271
174.6624,38.88217,10.23541,18.57829,0.5715448,-20.36792,-1.055115
174.683,38.88702,10.25061,18.52404,0.8608185,-19.35922,-1.278259
174.7042,38.89214,10.33677,18.46921,0.9657031,-17.99724,-1.257599
174.7267,38.89816,10.39748,18.41181,1.00917,-16.55858,-1.132294
