time,rot.x,rot.y,rot.z
529.2111,9.502599,7.579474,-0.6556091
529.2222,9.502599,7.579474,-0.6556091
529.2315,9.579056,7.155183,-0.6311646
529.2444,9.579056,7.155183,-0.6311646
529.2556,9.488733,7.633123,-0.6975098
529.2609,9.634227,8.134815,-0.7381287
529.2778,9.634227,8.134815,-0.7381287
529.2822,9.983947,7.877629,-0.6922302
529.2957,10.44194,8.385579,-0.6882019
529.3,10.44194,8.385579,-0.6882019
529.3111,10.44194,8.385579,-0.6882019
529.3222,10.83749,8.186147,-0.6387329
529.3334,11.29859,8.647919,-0.6166077
529.3445,11.29859,8.647919,-0.6166077
529.3556,11.68148,8.559075,-0.5811462
529.3618,11.96093,8.983992,-0.5767212
529.3778,11.96093,8.983992,-0.5767212
529.3817,12.01654,8.792706,-0.5397339
529.396,12.27232,9.142828,-0.5179443
529.4,12.27232,9.142828,-0.5179443
529.4111,12.27232,9.142828,-0.5179443
529.4222,12.48075,8.366932,-0.4389343
529.4333,12.77327,8.455737,-0.4008179
529.4445,12.77327,8.455737,-0.4008179
529.4556,12.92416,7.595947,-0.3276672
529.4611,13.08826,7.545732,-0.3034668
529.4778,13.08826,7.545732,-0.3034668
529.4825,13.06951,6.740933,-0.2544861
529.4957,13.04334,6.750522,-0.2532043
529.5,13.04334,6.750522,-0.2532043
529.5111,13.04334,6.750522,-0.2532043
529.5222,12.85737,6.154178,-0.2211914
529.5333,12.8205,6.242939,-0.2195435
529.5444,12.8205,6.242939,-0.2195435
529.5555,12.67265,5.617897,-0.1876526
529.5613,12.63052,5.739068,-0.1873474
529.5778,12.63052,5.739068,-0.1873474
529.5816,12.51005,5.29794,-0.1652527
529.5956,12.33496,5.565948,-0.1790466
529.6,12.33496,5.565948,-0.1790466
529.6111,12.33496,5.565948,-0.1790466
529.6223,12.26841,5.196844,-0.156189
529.6334,12.41103,5.370604,-0.1471252
529.6445,12.41103,5.370604,-0.1471252
529.6556,12.47233,5.010696,-0.1252747
529.6639,12.61399,5.099269,-0.116272
529.6778,12.61399,5.099269,-0.116272
529.6814,12.62138,4.792954,-0.1058655
529.6945,12.56707,4.825967,-0.1233215
529.7,12.56707,4.825967,-0.1233215
529.7111,12.56707,4.825967,-0.1233215
529.7222,12.67284,4.34955,-0.1175232
529.7333,12.77508,4.359151,-0.1325684
529.7444,12.77508,4.359151,-0.1325684
529.7556,12.89221,4.048751,-0.125
529.7626,12.93148,4.168472,-0.1361694
529.7778,12.93148,4.168472,-0.1361694
529.7814,12.7026,4.119269,-0.1426086
529.7955,12.29732,4.451776,-0.1851196
529.8,12.29732,4.451776,-0.1851196
529.8111,12.29732,4.451776,-0.1851196
529.8222,12.17713,4.381833,-0.1949463
529.8334,12.06317,4.81993,-0.2367554
529.8445,12.06317,4.81993,-0.2367554
529.8556,12.1004,4.712842,-0.2331238
529.861,12.10919,5.144304,-0.263855
529.8778,12.10919,5.144304,-0.263855
529.8811,12.04375,4.934941,-0.2606506
529.8941,11.88251,5.166839,-0.2888794
529.9,11.88251,5.166839,-0.2888794
529.9111,11.88251,5.166839,-0.2888794
529.9222,11.74902,4.424282,-0.2654114
529.9333,11.43323,4.350095,-0.2870789
529.9445,11.43323,4.350095,-0.2870789
529.9556,11.29203,3.613287,-0.2612915
529.9667,11.09023,3.379537,-0.2635803
529.9734,10.76403,3.396958,-0.2991943
529.9889,10.76403,3.396958,-0.2991943
529.9932,10.76105,2.84153,-0.2744141
530,10.76105,2.84153,-0.2744141
530.0111,10.85747,3.040544,-0.3042603
530.0222,10.85747,3.040544,-0.3042603
530.0333,11.00745,2.79428,-0.2894897
530.0408,11.24741,3.149186,-0.3095703
530.0555,11.24741,3.149186,-0.3095703
530.0667,11.43332,2.982687,-0.295105
530.0712,11.54686,3.056399,-0.300354
530.085,11.70506,3.417384,-0.3263245
530.1,11.70506,3.417384,-0.3263245
530.103,11.86945,3.318522,-0.3181152
530.1111,11.86945,3.318522,-0.3181152
530.1223,12.00179,3.424044,-0.3222961
530.1334,12.17878,3.87061,-0.346283
530.1445,12.17878,3.87061,-0.346283
530.1556,12.23829,3.949732,-0.3493347
530.16,12.27828,4.618951,-0.3888245
530.1778,12.27828,4.618951,-0.3888245
530.1808,12.21937,4.740339,-0.3965149
530.194,12.24389,5.491795,-0.4411316
530.2,12.24389,5.491795,-0.4411316
530.2111,12.24389,5.491795,-0.4411316
530.2222,12.1734,5.643383,-0.449585
530.2333,12.11351,6.583074,-0.5076904
530.2444,12.11351,6.583074,-0.5076904
530.2556,11.75652,6.789733,-0.5191956
530.262,11.49785,7.894411,-0.5943604
530.2778,11.49785,7.894411,-0.5943604
530.2807,11.23564,8.276961,-0.619812
530.2936,11.09321,9.506352,-0.6997681
530.3,11.09321,9.506352,-0.6997681
530.3111,11.09321,9.506352,-0.6997681
530.3222,11.02471,9.725966,-0.7142944
530.3334,11.07172,10.98204,-0.7912598
530.3445,11.07172,10.98204,-0.7912598
530.3556,11.2524,10.43602,-0.7503967
530.3627,11.46196,11.23063,-0.7758789
530.3778,11.46196,11.23063,-0.7758789
530.3803,11.62404,10.96984,-0.7504883
530.3937,11.8445,11.85828,-0.7783813
530.4,11.8445,11.85828,-0.7783813
530.4111,11.8445,11.85828,-0.7783813
530.4222,12.02562,11.41735,-0.7389832
530.4333,12.15744,12.33707,-0.7823181
530.4445,12.15744,12.33707,-0.7823181
530.4556,12.23215,12.1133,-0.7705688
530.462,12.19648,13.05795,-0.8400574
530.4778,12.19648,13.05795,-0.8400574
530.4814,12.05986,12.85102,-0.8474426
530.4957,11.72392,13.8307,-0.9784241
530.5,11.72392,13.8307,-0.9784241
530.5111,11.72392,13.8307,-0.9784241
530.5222,11.46287,13.88408,-1.018585
