time,rot.x,rot.y,rot.z
260.9556,10.63799,-7.910278,0.8724774
260.9667,10.63799,-7.910278,0.8724774
260.9778,10.63799,-7.910278,0.8724774
260.9889,10.63799,-7.910278,0.8724774
261,10.63799,-7.910278,0.8724774
261.0015,11.68751,-5.919678,0.604681
261.0111,11.68751,-5.919678,0.604681
261.0222,11.68751,-5.919678,0.604681
261.0333,11.68751,-5.919678,0.604681
261.0402,9.015078,-6.426941,0.5705203
261.0556,9.015078,-6.426941,0.5705203
261.0667,9.015078,-6.426941,0.5705203
261.0703,8.859569,-4.222778,0.3170287
261.0889,8.859569,-4.222778,0.3170287
261.1,8.859569,-4.222778,0.3170287
261.1041,10.08059,-5.124573,0.3402683
261.1111,10.08059,-5.124573,0.3402683
261.1222,10.08059,-5.124573,0.3402683
261.1333,10.08059,-5.124573,0.3402683
261.1444,9.747328,-6.278625,0.468541
261.1555,9.747328,-6.278625,0.468541
261.1667,9.747328,-6.278625,0.468541
261.1778,8.439651,-7.783142,0.6997327
261.1889,8.439651,-7.783142,0.6997327
261.2,8.439651,-7.783142,0.6997327
261.2089,8.371346,-10.09583,0.9288348
261.2111,8.371346,-10.09583,0.9288348
261.2222,8.371346,-10.09583,0.9288348
261.2333,8.371346,-10.09583,0.9288348
261.2444,7.990625,-8.573578,0.7655827
261.2556,7.990625,-8.573578,0.7655827
261.2667,7.990625,-8.573578,0.7655827
261.2721,8.608048,-9.631195,0.7879945
261.2889,8.608048,-9.631195,0.7879945
261.3,8.608048,-9.631195,0.7879945
261.305,9.051832,-8.913818,0.5970443
261.3111,9.051832,-8.913818,0.5970443
261.3222,9.051832,-8.913818,0.5970443
261.3333,9.051832,-8.913818,0.5970443
261.3445,10.1264,-7.857635,0.3966081
261.3556,10.1264,-7.857635,0.3966081
261.3667,10.1264,-7.857635,0.3966081
261.3771,12.94122,-9.014496,0.3028069
261.3889,12.94122,-9.014496,0.3028069
261.4,12.94122,-9.014496,0.3028069
261.4111,12.94122,-9.014496,0.3028069
261.4178,13.07932,-6.677917,0.1481939
261.4222,13.07932,-6.677917,0.1481939
261.4333,13.07932,-6.677917,0.1481939
261.4445,13.07932,-6.677917,0.1481939
261.4556,12.86616,-5.249481,0.1348714
261.4667,12.86616,-5.249481,0.1348714
261.4778,12.86616,-5.249481,0.1348714
261.4804,12.38005,-3.838715,0.1381502
261.5,12.38005,-3.838715,0.1381502
261.5111,12.38005,-3.838715,0.1381502
261.5133,11.9977,-5.104065,0.272468
261.5222,11.9977,-5.104065,0.272468
261.5333,11.9977,-5.104065,0.272468
261.5445,11.9977,-5.104065,0.272468
261.5556,9.353584,-4.843323,0.2767504
261.5667,9.353584,-4.843323,0.2767504
261.5778,9.353584,-4.843323,0.2767504
261.5889,9.435601,-5.405579,0.2577868
261.6,9.435601,-5.405579,0.2577868
261.6105,10.30861,-5.911774,0.2384385
261.6105,10.30861,-5.911774,0.2384385
261.6222,10.30861,-5.911774,0.2384385
261.6333,10.30861,-5.911774,0.2384385
261.6444,10.33754,-5.828064,0.2476997
261.6555,10.33754,-5.828064,0.2476997
261.6667,10.33754,-5.828064,0.2476997
261.6778,11.64345,-7.552368,0.2909887
261.6889,11.64345,-7.552368,0.2909887
261.7,11.64345,-7.552368,0.2909887
261.7051,11.64345,-7.552368,0.2909887
