time,pos.x,pos.y,pos.z,rot.x,rot.y,rot.z
535.2974,52.17228,1.794412,72.67384,0.3515132,-25.27309,-3.321228
535.3234,52.17672,1.792639,72.67621,0.3790899,-24.54081,-3.92334
535.353,52.17952,1.791071,72.67753,0.4912722,-24.0557,-4.310394
535.3765,52.18182,1.789597,72.67901,0.8213218,-23.66813,-4.601624
535.3972,52.18381,1.788208,72.68002,1.194523,-23.43164,-4.705475
535.4189,52.18544,1.787035,72.68144,1.496703,-23.29832,-4.605377
535.4427,52.18695,1.786108,72.68343,1.574656,-22.44835,-4.484619
535.464,52.18813,1.785688,72.68577,1.583783,-22.06402,-4.503906
535.4865,52.18955,1.785106,72.68851,1.569122,-21.26527,-4.657135
535.5087,52.19117,1.784472,72.69177,1.513675,-20.81691,-4.83078
535.5317,52.19303,1.783753,72.69588,1.528393,-20.33836,-4.937317
535.5539,52.19493,1.783192,72.7005,1.591854,-19.99821,-4.971527
535.5759,52.1967,1.782801,72.70559,1.605207,-19.73787,-4.966705
535.5968,52.19826,1.782715,72.71134,1.592182,-19.38484,-4.941101
535.6193,52.2001,1.7825,72.71799,1.56425,-19.06758,-4.92392
535.6415,52.20171,1.782173,72.72491,1.623065,-18.70954,-4.953064
535.6649,52.20335,1.781451,72.73252,1.841979,-18.35767,-4.973846
535.6855,52.20444,1.780451,72.73948,2.157763,-18.07788,-4.921051
535.709,52.20599,1.779312,72.74775,2.458287,-17.7942,-4.785156
535.7319,52.20739,1.778052,72.75609,2.73792,-17.44857,-4.656219
535.7526,52.20845,1.776691,72.76411,2.958451,-17.09323,-4.661591
535.7777,52.21006,1.77523,72.77402,3.172862,-16.78308,-4.675507
535.7983,52.21106,1.773884,72.78236,3.372846,-16.53939,-4.547333
535.819,52.2123,1.772575,72.79129,3.554532,-16.30867,-4.304932
535.8427,52.21419,1.771384,72.80206,3.692977,-16.15689,-4.084534
535.8648,52.21585,1.770476,72.81308,3.790658,-16.09011,-3.995361
535.8867,52.21761,1.769757,72.82436,3.845939,-16.11591,-3.94928
535.9088,52.21973,1.769237,72.83664,3.892051,-16.17237,-3.962189
535.9302,52.22197,1.768517,72.84956,4.018226,-16.23072,-4.087585
535.9536,52.22501,1.767985,72.86488,4.188065,-15.50555,-4.321136
535.9755,52.22775,1.767613,72.88021,4.369443,-14.9681,-4.587769
535.9978,52.23103,1.767644,72.89652,4.521298,-14.59893,-4.705841
536.0193,52.2345,1.768197,72.91321,4.544264,-14.19551,-4.659637
536.0416,52.23866,1.769149,72.93131,4.475451,-13.97694,-4.492401
536.0641,52.24314,1.770175,72.94978,4.44569,-13.77287,-4.294983
536.0856,52.24751,1.771153,72.96738,4.501143,-13.55159,-4.163116
536.1093,52.2526,1.772323,72.98695,4.488898,-13.31737,-4.081726
536.1302,52.25674,1.77355,73.00397,4.312336,-13.12153,-4.035706
536.1529,52.26131,1.774621,73.02195,4.152609,-13.00075,-4.022675
536.1765,52.26602,1.775643,73.04025,4.021001,-12.92077,-4.009308
536.1985,52.27011,1.776336,73.05671,3.975565,-12.90066,-4.049622
536.2185,52.27339,1.776989,73.07108,3.883985,-12.85493,-4.069794
536.2408,52.27739,1.777646,73.08673,3.840907,-12.77959,-4.028931
536.2636,52.28159,1.778432,73.10255,3.882981,-12.7035,-3.854492
536.2863,52.28547,1.779044,73.11784,3.938121,-11.58563,-3.655273
