time,pos.x,pos.y,pos.z,rot.x,rot.y,rot.z
334.1137,48.59604,1.765543,17.70847,9.205153,-34.53046,-0.8024597
334.1409,48.596,1.766102,17.72361,9.445988,-36.99775,-0.04943848
334.1717,48.60172,1.766934,17.73553,9.521526,-35.50489,0.3670826
334.1942,48.603,1.768473,17.74619,9.395816,-36.87667,0.3761144
334.2174,48.6048,1.770822,17.75662,9.003973,-38.32817,0.3018166
334.2394,48.60649,1.773481,17.76608,8.565137,-39.72279,0.3081571
334.2611,48.60893,1.775396,17.77472,8.007345,-41.22807,0.5017721
334.2844,48.60831,1.778129,17.78477,6.961408,-43.38866,1.129376
334.316,48.61839,1.779209,17.79544,6.203902,-43.92645,1.453431
334.3396,48.62422,1.779376,17.80279,5.698953,-45.30652,1.794849
334.3628,48.62555,1.77916,17.81028,5.428211,-46.54671,2.54934
334.3947,48.63448,1.778907,17.81935,5.509306,-47.39339,2.972121
334.4182,48.63464,1.778403,17.82499,5.51122,-49.75107,3.471823
334.452,48.63784,1.77844,17.8317,5.288128,-50.94157,3.80217
334.4858,48.63782,1.778412,17.8357,5.006831,-52.33458,3.950175
334.5165,48.63788,1.778028,17.83794,4.882885,-51.82791,3.878342
334.5411,48.63475,1.77704,17.83745,5.104435,-52.67128,3.571676
334.5735,48.63374,1.776447,17.83709,5.461,-51.62341,3.116732
334.616,48.62973,1.775965,17.83195,5.937471,-51.04828,2.203887
334.6414,48.6259,1.776733,17.82568,6.273396,-49.7048,1.431142
334.6755,48.62134,1.778501,17.81725,6.426249,-48.56146,1.064997
334.708,48.61681,1.781336,17.80873,5.939976,-46.62091,1.47645
334.7409,48.61267,1.783215,17.80042,5.50901,-45.99551,1.956865
334.774,48.60884,1.784871,17.79276,5.219986,-45.63712,1.768031
334.8076,48.60537,1.785748,17.78487,5.308765,-45.60275,1.141747
334.8428,48.6022,1.786626,17.77726,4.998167,-45.11771,0.5234498
334.8749,48.59887,1.785757,17.76744,5.31792,-45.30823,-0.3368225
334.9067,48.59577,1.785806,17.75787,5.459157,-44.43222,-0.7861023
334.9329,48.59269,1.786299,17.74683,4.961075,-44.42477,-0.9881897
334.9631,48.59059,1.786234,17.7343,4.54394,-44.12753,-0.7322083
334.9968,48.58845,1.784109,17.71823,4.501576,-43.08859,-0.4488831
335.0289,48.58786,1.783942,17.70477,4.409792,-41.63315,-0.2976074
335.0536,48.58908,1.784147,17.69554,4.513053,-40.79163,-0.04208374
335.0849,48.59024,1.784794,17.68396,4.877362,-39.77097,0.05439955
335.1185,48.59105,1.785646,17.67168,5.082335,-38.5827,-0.0630188
335.1446,48.59236,1.786968,17.66429,4.967964,-38.27512,-0.3782654
335.1743,48.59371,1.787979,17.65689,4.687064,-37.37613,-0.5445251
335.2059,48.59494,1.788155,17.65,4.526308,-36.46112,-0.4674377
335.229,48.59574,1.788112,17.64713,4.274012,-36.19171,-0.3190002
335.2544,48.59583,1.788674,17.64662,3.82927,-37.03638,-0.1323242
335.2839,48.59567,1.789145,17.64615,3.468168,-35.63992,-0.007232666
335.3083,48.59475,1.789846,17.64812,2.772619,-35.65353,0.06946186
335.3407,48.59362,1.789758,17.65001,2.398907,-35.2594,-0.08660889
335.3751,48.5922,1.788966,17.65273,2.466832,-34.86026,-0.6109619
335.4059,48.59102,1.788485,17.65486,2.601656,-33.63644,-1.09259
335.431,48.58885,1.78808,17.65899,2.6397,-33.0864,-2.036438
335.4619,48.58744,1.788222,17.66185,2.604594,-32.29758,-2.721954
335.4869,48.58517,1.788206,17.66632,2.522103,-31.83673,-3.805725
335.5185,48.58268,1.78813,17.67051,2.318013,-30.43073,-4.597656
335.5526,48.58023,1.788093,17.67468,1.901858,-28.32013,-4.665802
335.5843,48.57852,1.78782,17.67785,1.603038,-26.96878,-4.434845
335.6084,48.57543,1.787677,17.68291,1.231951,-26.10257,-4.465637
335.6425,48.57166,1.787558,17.68852,0.7651772,-24.0697,-5.241852
335.6727,48.5684,1.78686,17.69297,0.8147423,-22.483,-5.79837
335.6971,48.56331,1.786402,17.69886,0.7176107,-21.36349,-6.11557
335.7294,48.55661,1.786134,17.70615,0.4589868,-20.35376,-6.013519
335.7617,48.55082,1.78559,17.71226,0.2791112,-19.97867,-5.988007
335.7861,48.54337,1.783676,17.71844,0.5658071,-19.81247,-6.012939
335.8176,48.5366,1.782646,17.72527,0.7051085,-19.68552,-5.880127
335.8418,48.52831,1.781945,17.73203,0.4783335,-19.73285,-5.524384
335.8721,48.52066,1.780941,17.74005,0.1949126,-19.75751,-5.341797
335.8971,48.51115,1.777596,17.74848,0.4264071,-19.76947,-5.43866
335.9297,48.49908,1.774691,17.76091,0.5876998,-19.55991,-5.585358
335.9624,48.48567,1.771416,17.77563,0.9387918,-19.36499,-5.408142
335.9947,48.47227,1.770006,17.79246,1.216859,-19.3371,-5.311096
336.0211,48.4573,1.76979,17.80789,1.37984,-19.32727,-5.470795
336.0518,48.43871,1.771268,17.82846,1.17224,-19.53955,-5.45285
336.0839,48.41959,1.773012,17.85319,1.093162,-19.78479,-5.182922
336.1067,48.40267,1.776063,17.8715,1.146605,-20.0748,-4.696594
336.1402,48.38023,1.778191,17.90047,1.327214,-20.09427,-4.439087
336.1727,48.35935,1.779408,17.93025,1.404718,-19.97238,-4.438873
336.1966,48.34321,1.780417,17.95022,1.121144,-19.65988,-4.499023
336.2278,48.3235,1.78025,17.97888,0.8405061,-19.49805,-4.459686
336.252,48.30801,1.778548,17.99877,0.5700355,-19.30219,-4.183594
336.2835,48.28865,1.776844,18.02717,0.5810768,-19.2966,-3.903992
336.3079,48.27336,1.774562,18.04684,0.706249,-19.51541,-3.573303
336.3403,48.25379,1.772061,18.07424,0.7586095,-19.93054,-3.418365
336.3718,48.2353,1.770123,18.10189,1.073826,-20.31238,-3.409576
336.3961,48.22062,1.767962,18.12154,1.858402,-20.56219,-3.56192
336.4276,48.20092,1.767612,18.14975,2.003159,-19.89871,-3.706085
336.4514,48.18579,1.768397,18.16983,2.019818,-20.43521,-3.900635
336.4831,48.16431,1.769652,18.20019,1.892457,-20.2999,-3.964661
336.5067,48.14738,1.771464,18.22205,1.681248,-20.19809,-4.074615
336.5406,48.12086,1.77323,18.25599,1.310609,-19.64581,-4.237518
336.5723,48.09459,1.774148,18.28866,1.14496,-18.96359,-4.251495
336.5982,48.07203,1.775108,18.31374,0.9879631,-18.57687,-4.134033
336.6277,48.0455,1.775985,18.34321,0.7598723,-18.0361,-4.01181
336.6519,48.02362,1.776689,18.36506,0.3744054,-17.6373,-3.845215
336.6836,47.99485,1.776503,18.39455,0.3305961,-17.30328,-3.76059
336.7087,47.97251,1.777249,18.41606,0.2024389,-17.37366,-3.954834
336.7388,47.94537,1.777821,18.44131,-0.07678223,-16.51367,-4.227875
336.7626,47.92442,1.77884,18.45927,-0.2659302,-16.32404,-4.50589
336.7943,47.89657,1.779772,18.48216,-0.2950134,-15.54343,-4.509644
336.8164,47.87749,1.781233,18.49701,-0.5227661,-15.61868,-4.493286
336.8386,47.85855,1.782988,18.51125,-0.8936462,-15.99289,-4.546997
336.8616,47.83881,1.787207,18.52435,-1.607269,-16.44415,-4.493469
336.9116,47.79657,1.791812,18.55115,-2.379791,-16.94107,-4.41153
336.9397,47.77319,1.793349,18.56502,-2.708344,-17.97128,-4.478302
336.9715,47.74696,1.793254,18.5806,-2.94101,-17.47427,-4.661774
336.9961,47.7262,1.792042,18.59124,-3.449554,-17.94623,-5.144562
337.0291,47.6986,1.790467,18.6055,-3.441956,-18.5397,-5.507874
337.0607,47.67245,1.789239,18.61936,-3.213806,-18.31824,-5.655853
337.0835,47.65292,1.787834,18.62726,-3.070709,-18.11923,-5.987549
337.1152,47.62604,1.787035,18.63991,-3.072723,-17.44272,-6.27121
337.1375,47.60664,1.786228,18.6479,-3.128998,-17.39951,-6.604584
337.1622,47.58326,1.784637,18.65606,-3.204163,-16.5867,-7.056061
337.1926,47.5544,1.78377,18.66762,-3.109528,-15.65588,-7.360382
337.2153,47.53104,1.783108,18.67627,-3.2164,-15.34192,-7.521942
337.2386,47.50472,1.782288,18.68381,-3.138885,-15.15317,-7.472168
337.2712,47.47035,1.782011,18.69683,-3.030396,-14.8609,-7.288544
337.2939,47.4449,1.781561,18.70496,-2.878479,-14.03754,-7.19278
337.3163,47.41959,1.781048,18.71254,-2.766357,-13.42743,-7.045532
337.3385,47.39419,1.780564,18.72007,-2.572235,-12.76953,-6.973816
337.3613,47.36642,1.779348,18.72678,-2.316406,-12.57764,-7.039581
337.3939,47.33104,1.778233,18.73818,-1.903595,-12.50186,-7.106445
337.4183,47.30262,1.777301,18.74553,-1.345123,-12.85349,-6.828156
337.4492,47.27058,1.777485,18.7562,-1.192291,-13.07452,-6.436401
337.4725,47.24484,1.778272,18.7629,-1.074707,-13.25549,-6.053711
337.5038,47.21502,1.778798,18.77302,-0.6581421,-13.18842,-5.748413
337.5264,47.19377,1.779674,18.7802,-0.1523438,-13.07373,-5.212158
337.5512,47.17129,1.782637,18.78775,0.1272916,-12.88467,-4.22702
337.5835,47.14401,1.785236,18.79822,0.07454097,-12.77039,-3.647369
337.6157,47.11728,1.786259,18.8096,0.03316986,-12.7561,-3.550232
337.6378,47.09851,1.787002,18.81818,-0.012146,-12.71967,-3.551025
337.6605,47.07874,1.787229,18.8276,-0.145752,-12.56079,-3.739563
337.6834,47.05862,1.785109,18.83791,-0.5312805,-12.2352,-4.41391
337.7158,47.02422,1.782512,18.8535,-0.6516724,-12.01761,-5.037933
337.7409,46.99625,1.780379,18.8672,-0.6582642,-11.8197,-5.426453
337.7726,46.95758,1.779864,18.88589,-0.5376282,-11.74203,-4.679962
337.8047,46.91647,1.780229,18.90546,-0.5829773,-12.82321,-4.157227
337.8269,46.88827,1.781031,18.9197,-0.5442505,-13.22543,-3.846283
337.8497,46.85965,1.782151,18.93482,-0.2756653,-13.33734,-3.804626
337.872,46.83355,1.783448,18.95041,-0.05990601,-13.02646,-3.942932
337.9032,46.79619,1.784414,18.97032,-0.3002014,-12.90543,-4.352234
337.9264,46.76933,1.785103,18.98497,-0.6680908,-11.89865,-4.871002
337.9478,46.74496,1.785215,18.99828,-1.048187,-10.94034,-5.402954
337.9718,46.71857,1.785141,19.01357,-1.57016,-10.30228,-5.803253
338.0028,46.68441,1.78499,19.0307,-1.90979,-9.763489,-5.80307
338.0261,46.65942,1.784797,19.04375,-2.364136,-9.30957,-5.759125
338.0502,46.63405,1.783911,19.05833,-2.683105,-8.78421,-5.71521
338.0811,46.60182,1.782738,19.07454,-2.62027,-8.336365,-5.862122
338.1039,46.57841,1.781214,19.08715,-2.351898,-7.897522,-6.220367
338.1255,46.55615,1.77947,19.09888,-1.957031,-7.515167,-6.732666
338.149,46.53152,1.777867,19.11156,-1.53302,-7.198395,-7.168488
338.1711,46.5078,1.776657,19.12391,-1.144623,-6.901917,-7.582733
338.1949,46.48137,1.775362,19.13926,-0.8301697,-6.578125,-7.922882
338.2257,46.44542,1.77478,19.15677,-0.8193359,-6.039429,-7.95224
338.2502,46.41619,1.774446,19.17327,-0.9827271,-5.56543,-7.839722
338.281,46.37733,1.774771,19.19107,-1.179382,-4.752899,-7.781647
338.303,46.34866,1.775159,19.20495,-1.29068,-4.22876,-7.736725
338.3256,46.31834,1.775762,19.2195,-1.3172,-4.012329,-7.668091
338.3479,46.28769,1.776692,19.23394,-1.365967,-3.952637,-7.604767
338.3701,46.25643,1.777393,19.24848,-1.335938,-3.920593,-7.681763
338.3936,46.22256,1.778218,19.26378,-1.247559,-3.985077,-8.018372
338.4174,46.18766,1.780158,19.27979,-1.134399,-3.502655,-8.559723
338.4476,46.14226,1.779846,19.29704,-1.148071,-2.873566,-8.825836
338.4701,46.10823,1.778684,19.30938,-1.21933,-2.668976,-9.159302
338.4925,46.07433,1.778499,19.32066,-1.274506,-2.45871,-9.560486
338.5154,46.03997,1.77858,19.3315,-1.206085,-2.367249,-9.801208
338.5384,46.00648,1.778327,19.34058,-0.8644104,-2.482697,-9.769165
338.57,45.96139,1.778722,19.35244,-0.61026,-2.586029,-9.567902
338.592,45.93095,1.779725,19.35916,-0.5574341,-2.750275,-9.438263
338.6147,45.90005,1.780724,19.36579,-0.8845215,-2.920837,-9.223297
338.6369,45.87015,1.781484,19.37134,-1.383148,-3.159668,-8.998566
338.6591,45.8399,1.781699,19.37699,-1.842468,-3.506256,-8.719635
338.6831,45.8064,1.780786,19.38124,-2.202179,-4.140991,-8.426758
338.7145,45.76065,1.779138,19.39109,-2.100891,-4.585114,-8.359802
338.7376,45.72564,1.777313,19.39727,-1.924042,-5.097961,-8.236542
338.7605,45.68855,1.774939,19.40169,-1.842743,-5.881683,-7.568695
338.7926,45.63668,1.773579,19.41265,-1.763153,-6.395325,-7.040955
338.8143,45.60013,1.772175,19.41878,-1.506683,-6.877167,-6.711853
338.8365,45.56205,1.770594,19.42532,-1.094574,-7.318726,-6.630127
338.86,45.52105,1.769135,19.43275,-0.6801453,-7.801117,-6.569183
338.8824,45.48143,1.768037,19.44005,-0.2362366,-8.329376,-6.548096
338.922,45.41014,1.767679,19.45209,0.1101226,-9.561584,-6.483826
338.9495,45.36031,1.769265,19.4606,-0.06744385,-10.4277,-6.165833
338.981,45.30368,1.771372,19.47361,-0.3760071,-10.95337,-5.739655
339.0036,45.2627,1.773911,19.48174,-0.7130432,-11.38034,-5.422577
339.0266,45.22099,1.776644,19.49,-1.082886,-11.70874,-5.115479
339.0498,45.17802,1.780969,19.49663,-1.353424,-12.11798,-4.60376
339.0802,45.12283,1.783636,19.50928,-1.465057,-12.38776,-4.146881
339.1037,45.07979,1.785733,19.51837,-1.53241,-12.68784,-3.752716
339.1258,45.03989,1.786271,19.52707,-1.356903,-13.06464,-3.488922
339.1469,45.0024,1.785431,19.53525,-1.085541,-13.43201,-3.325134
339.1708,44.96021,1.78415,19.5453,-0.8439941,-13.79449,-3.297028
339.1934,44.92072,1.782078,19.55332,-0.4885559,-14.4238,-3.16156
339.2249,44.86639,1.780385,19.56734,-0.08511353,-14.80267,-3.048889
339.2473,44.82863,1.778879,19.57641,0.2768959,-15.14017,-2.810516
339.2704,44.78978,1.778311,19.58567,0.5189834,-15.03537,-2.546875
339.2919,44.75394,1.778611,19.59353,0.6188449,-14.42694,-2.280487
339.3132,44.71814,1.77957,19.60157,0.4940851,-14.5415,-2.071289
339.3356,44.68034,1.781403,19.61026,0.320559,-14.38223,-1.933716
339.3589,44.64096,1.783082,19.61922,0.2326265,-14.51019,-1.940186
339.3799,44.60504,1.784606,19.6271,0.0539791,-14.21259,-1.983795
339.403,44.56524,1.786183,19.63525,-0.1713562,-13.39597,-2.08786
339.4254,44.52642,1.7875,19.64343,-0.5422058,-13.38306,-2.02597
339.4486,44.4864,1.78908,19.65149,-1.0867,-13.01407,-1.876465
339.4892,44.41883,1.789499,19.66414,-1.307709,-11.53632,-1.60672
339.6091,44.26994,1.790579,19.68481,-1.666534,-6.90979,-1.567871
339.6347,44.24215,1.789797,19.69197,-2.240509,-5.410889,-2.972595
339.6616,44.21307,1.788911,19.6962,-2.445587,-4.527527,-3.554321
339.687,44.18609,1.786284,19.70091,-2.336761,-3.997498,-4.492035
339.7176,44.15518,1.784638,19.70466,-2.149261,-3.243866,-4.871765
339.7444,44.12738,1.782696,19.71,-1.927643,-3.045685,-4.937836
339.773,44.09785,1.781718,19.71395,-1.785309,-2.060883,-5.043427
339.8011,44.06714,1.780559,19.71902,-1.660461,-1.384979,-5.542847
