time,rot.x,rot.y,rot.z
193.7028,5.361963,-2.924408,-0.01873779
193.7111,5.361963,-2.924408,-0.01873779
193.7222,5.361963,-2.924408,-0.01873779
193.7333,5.361963,-2.924408,-0.01873779
193.7444,5.361963,-2.924408,-0.01873779
193.7556,5.361963,-2.924408,-0.01873779
193.7667,5.361963,-2.924408,-0.01873779
193.7778,5.361963,-2.924408,-0.01873779
193.7889,5.361963,-2.924408,-0.01873779
193.8,7.614964,-0.9710388,-0.01681519
193.8111,7.614964,-0.9710388,-0.01681519
193.8222,7.614964,-0.9710388,-0.01681519
193.8333,7.614964,-0.9710388,-0.01681519
193.8445,7.614964,-0.9710388,-0.01681519
193.8535,8.676698,2.559571,-0.1143799
193.8535,8.676698,2.559571,-0.1143799
193.8667,8.676698,2.559571,-0.1143799
193.8778,8.676698,2.559571,-0.1143799
193.8889,8.676698,2.559571,-0.1143799
193.9,8.676698,2.559571,-0.1143799
193.9111,8.676698,2.559571,-0.1143799
193.9209,5.96512,2.053596,-0.09484863
193.9209,5.96512,2.053596,-0.09484863
193.9333,5.96512,2.053596,-0.09484863
193.9444,5.96512,2.053596,-0.09484863
193.9556,5.96512,2.053596,-0.09484863
193.9667,5.96512,2.053596,-0.09484863
193.9778,5.96512,2.053596,-0.09484863
193.9839,5.702703,1.554834,-0.06982422
194,5.702703,1.554834,-0.06982422
194.0111,5.702703,1.554834,-0.06982422
194.0222,5.702703,1.554834,-0.06982422
194.0333,5.702703,1.554834,-0.06982422
194.0444,5.702703,1.554834,-0.06982422
194.0466,7.82151,0.3423181,-0.005446482
194.0556,7.82151,0.3423181,-0.005446482
194.0667,7.82151,0.3423181,-0.005446482
194.0778,7.82151,0.3423181,-0.005446482
194.0889,7.82151,0.3423181,-0.005446482
194.1,7.82151,0.3423181,-0.005446482
194.1068,10.8519,-0.07296753,0.002356181
194.1111,10.8519,-0.07296753,0.002356181
194.1222,10.8519,-0.07296753,0.002356181
194.1333,10.8519,-0.07296753,0.002356181
194.1445,10.8519,-0.07296753,0.002356181
194.1556,10.8519,-0.07296753,0.002356181
194.1667,10.8519,-0.07296753,0.002356181
194.1778,11.44045,-0.6583862,-0.001397554
194.1889,11.44045,-0.6583862,-0.001397554
194.2,11.44045,-0.6583862,-0.001397554
194.2111,11.44045,-0.6583862,-0.001397554
194.2222,11.44045,-0.6583862,-0.001397554
194.2293,10.62001,-1.618378,0.009210298
194.2333,10.62001,-1.618378,0.009210298
194.2444,10.62001,-1.618378,0.009210298
194.2556,10.62001,-1.618378,0.009210298
194.2667,10.62001,-1.618378,0.009210298
194.2778,10.62001,-1.618378,0.009210298
194.2889,10.62001,-1.618378,0.009210298
194.2928,12.44382,-2.054443,0.02311027
194.3,12.44382,-2.054443,0.02311027
194.3111,12.44382,-2.054443,0.02311027
194.3222,12.44382,-2.054443,0.02311027
194.3333,12.44382,-2.054443,0.02311027
194.3445,12.44382,-2.054443,0.02311027
194.3513,13.03069,-2.234833,-0.02304077
194.3667,13.03069,-2.234833,-0.02304077
194.3778,13.03069,-2.234833,-0.02304077
194.3889,13.03069,-2.234833,-0.02304077
194.4,13.03069,-2.234833,-0.02304077
194.4111,13.03069,-2.234833,-0.02304077
194.412,14.13071,-6.188141,0.06058107
194.4222,14.13071,-6.188141,0.06058107
194.4333,14.13071,-6.188141,0.06058107
194.4444,14.13071,-6.188141,0.06058107
194.4556,14.13071,-6.188141,0.06058107
194.4667,14.13071,-6.188141,0.06058107
194.4736,10.35056,-6.630493,0.3188417
194.4889,10.35056,-6.630493,0.3188417
194.5,10.35056,-6.630493,0.3188417
194.5111,10.35056,-6.630493,0.3188417
194.5222,10.35056,-6.630493,0.3188417
194.5333,10.35056,-6.630493,0.3188417
194.5345,3.977883,-4.224854,0.4153881
194.5444,3.977883,-4.224854,0.4153881
194.5556,3.977883,-4.224854,0.4153881
194.5667,3.977883,-4.224854,0.4153881
194.5778,3.977883,-4.224854,0.4153881
194.5889,3.977883,-4.224854,0.4153881
194.5918,3.129539,-4.28009,0.4355345
194.6,3.129539,-4.28009,0.4355345
194.6111,3.129539,-4.28009,0.4355345
194.6222,3.129539,-4.28009,0.4355345
194.6333,3.129539,-4.28009,0.4355345
194.6445,3.129539,-4.28009,0.4355345
194.6556,2.938347,-1.664185,0.1267906
194.6667,2.938347,-1.664185,0.1267906
194.6778,2.938347,-1.664185,0.1267906
194.6889,2.938347,-1.664185,0.1267906
194.7,2.938347,-1.664185,0.1267906
194.7084,7.40542,-4.718231,0.2558925
194.7111,7.40542,-4.718231,0.2558925
194.7222,7.40542,-4.718231,0.2558925
194.7333,7.40542,-4.718231,0.2558925
194.7444,7.40542,-4.718231,0.2558925
194.7556,7.40542,-4.718231,0.2558925
194.7667,7.40542,-4.718231,0.2558925
194.7702,10.38894,-4.979248,0.1115984
194.7889,10.38894,-4.979248,0.1115984
194.8,10.38894,-4.979248,0.1115984
194.8111,10.38894,-4.979248,0.1115984
194.8222,10.38894,-4.979248,0.1115984
194.8309,12.13687,-5.607086,0.06484968
194.8309,12.13687,-5.607086,0.06484968
194.8445,12.13687,-5.607086,0.06484968
194.8556,12.13687,-5.607086,0.06484968
194.8667,12.13687,-5.607086,0.06484968
194.8778,12.13687,-5.607086,0.06484968
194.8889,12.13687,-5.607086,0.06484968
194.8901,14.7585,-4.858429,0.008506432
194.9,14.7585,-4.858429,0.008506432
194.9111,14.7585,-4.858429,0.008506432
194.9222,14.7585,-4.858429,0.008506432
194.9333,14.7585,-4.858429,0.008506432
194.9444,14.7585,-4.858429,0.008506432
194.9556,16.1606,-2.36731,-0.04669189
194.9667,16.1606,-2.36731,-0.04669189
194.9778,16.1606,-2.36731,-0.04669189
194.9889,16.1606,-2.36731,-0.04669189
195,16.1606,-2.36731,-0.04669189
195.0037,12.48277,-3.818298,0.09418804
195.0111,12.48277,-3.818298,0.09418804
195.0222,12.48277,-3.818298,0.09418804
195.0333,12.48277,-3.818298,0.09418804
195.0444,12.48277,-3.818298,0.09418804
195.0556,12.48277,-3.818298,0.09418804
195.0613,12.06587,-2.987335,0.05572694
195.0778,12.06587,-2.987335,0.05572694
195.0889,12.06587,-2.987335,0.05572694
195.1,12.06587,-2.987335,0.05572694
195.1111,12.06587,-2.987335,0.05572694
195.1205,12.02235,-2.326172,0.01050477
195.1205,12.02235,-2.326172,0.01050477
195.1333,12.02235,-2.326172,0.01050477
195.1445,12.02235,-2.326172,0.01050477
195.1556,12.02235,-2.326172,0.01050477
195.1667,12.02235,-2.326172,0.01050477
195.1774,8.923334,-0.003701619,-0.009979248
195.1889,8.923334,-0.003701619,-0.009979248
195.2,8.923334,-0.003701619,-0.009979248
195.2111,8.923334,-0.003701619,-0.009979248
195.2222,8.923334,-0.003701619,-0.009979248
195.2333,8.923334,-0.003701619,-0.009979248
195.2401,6.100937,0.801564,-0.05084229
195.2401,6.100937,0.801564,-0.05084229
195.2556,6.100937,0.801564,-0.05084229
195.2667,6.100937,0.801564,-0.05084229
195.2778,6.100937,0.801564,-0.05084229
195.2889,6.100937,0.801564,-0.05084229
195.2977,6.523355,-1.441895,0.1057622
195.3,6.523355,-1.441895,0.1057622
195.3111,6.523355,-1.441895,0.1057622
195.3222,6.523355,-1.441895,0.1057622
195.3333,6.523355,-1.441895,0.1057622
195.3445,6.523355,-1.441895,0.1057622
195.354,8.343225,-5.634949,0.3469968
195.3667,8.343225,-5.634949,0.3469968
195.3778,8.343225,-5.634949,0.3469968
195.3889,8.343225,-5.634949,0.3469968
195.4,8.343225,-5.634949,0.3469968
195.4111,8.343225,-5.634949,0.3469968
195.4129,9.018647,-4.061432,0.2255407
195.4222,9.018647,-4.061432,0.2255407
195.4333,9.018647,-4.061432,0.2255407
195.4444,9.018647,-4.061432,0.2255407
195.4556,9.018647,-4.061432,0.2255407
195.4667,9.018647,-4.061432,0.2255407
195.4736,8.854665,-4.183838,0.1828785
195.4889,8.854665,-4.183838,0.1828785
195.5,8.854665,-4.183838,0.1828785
195.5111,8.854665,-4.183838,0.1828785
195.5222,8.854665,-4.183838,0.1828785
195.532,11.47499,-4.344116,0.09785538
195.532,11.47499,-4.344116,0.09785538
195.5444,11.47499,-4.344116,0.09785538
195.5556,11.47499,-4.344116,0.09785538
195.5667,11.47499,-4.344116,0.09785538
195.5778,11.47499,-4.344116,0.09785538
195.586,12.99386,-5.027588,0.07933458
195.6,12.99386,-5.027588,0.07933458
195.6111,12.99386,-5.027588,0.07933458
195.6222,12.99386,-5.027588,0.07933458
195.6333,12.99386,-5.027588,0.07933458
195.6445,12.99386,-5.027588,0.07933458
195.645,12.98734,-6.880524,0.2930878
195.6556,12.98734,-6.880524,0.2930878
195.6667,12.98734,-6.880524,0.2930878
195.6778,12.98734,-6.880524,0.2930878
195.6889,12.98734,-6.880524,0.2930878
195.7,12.98734,-6.880524,0.2930878
195.7015,9.949235,-7.416473,0.5184846
195.7111,9.949235,-7.416473,0.5184846
195.7222,9.949235,-7.416473,0.5184846
195.7333,9.949235,-7.416473,0.5184846
195.7444,9.949235,-7.416473,0.5184846
195.7556,9.949235,-7.416473,0.5184846
195.7667,9.060947,-6.797699,0.4381932
195.7778,9.060947,-6.797699,0.4381932
195.7889,9.060947,-6.797699,0.4381932
195.8,9.060947,-6.797699,0.4381932
195.8111,9.060947,-6.797699,0.4381932
195.8153,9.23305,-6.480896,0.4385186
195.8222,9.23305,-6.480896,0.4385186
195.8333,9.23305,-6.480896,0.4385186
195.8445,9.23305,-6.480896,0.4385186
195.8556,9.23305,-6.480896,0.4385186
195.8667,9.23305,-6.480896,0.4385186
195.8733,6.889692,-6.011993,0.5473652
195.8889,6.889692,-6.011993,0.5473652
195.9,6.889692,-6.011993,0.5473652
195.9111,6.889692,-6.011993,0.5473652
195.9222,6.889692,-6.011993,0.5473652
195.9319,4.358526,-4.232361,0.4523449
195.9319,4.358526,-4.232361,0.4523449
195.9444,4.358526,-4.232361,0.4523449
195.9556,4.358526,-4.232361,0.4523449
195.9667,4.358526,-4.232361,0.4523449
195.9778,4.358526,-4.232361,0.4523449
195.9889,4.358526,-4.232361,0.4523449
195.9929,3.728554,-5.150299,0.5320521
196,3.728554,-5.150299,0.5320521
196.0111,3.728554,-5.150299,0.5320521
196.0222,3.728554,-5.150299,0.5320521
196.0333,3.728554,-5.150299,0.5320521
196.0444,3.728554,-5.150299,0.5320521
196.0536,5.9489,-3.864563,0.3528189
196.0667,5.9489,-3.864563,0.3528189
196.0778,5.9489,-3.864563,0.3528189
196.0889,5.9489,-3.864563,0.3528189
196.1,5.9489,-3.864563,0.3528189
196.1103,10.45483,-2.67337,0.1435001
196.1103,10.45483,-2.67337,0.1435001
196.1222,10.45483,-2.67337,0.1435001
196.1333,10.45483,-2.67337,0.1435001
196.1445,10.45483,-2.67337,0.1435001
196.1556,10.45483,-2.67337,0.1435001
196.1667,10.45483,-2.67337,0.1435001
196.1727,11.96667,-3.254089,0.07569052
196.1889,11.96667,-3.254089,0.07569052
196.2,11.96667,-3.254089,0.07569052
196.2111,11.96667,-3.254089,0.07569052
196.2222,11.96667,-3.254089,0.07569052
196.231,11.74268,-2.679413,0.05727843
196.231,11.74268,-2.679413,0.05727843
196.2444,11.74268,-2.679413,0.05727843
196.2556,11.74268,-2.679413,0.05727843
196.2667,11.74268,-2.679413,0.05727843
196.2778,11.74268,-2.679413,0.05727843
196.2879,8.429028,-0.5101929,-0.005767822
196.3,8.429028,-0.5101929,-0.005767822
196.3111,8.429028,-0.5101929,-0.005767822
196.3222,8.429028,-0.5101929,-0.005767822
196.3333,8.429028,-0.5101929,-0.005767822
196.3445,8.429028,-0.5101929,-0.005767822
196.3445,9.106223,-0.9239807,0.02756494
196.3556,9.106223,-0.9239807,0.02756494
196.3667,9.106223,-0.9239807,0.02756494
196.3778,9.106223,-0.9239807,0.02756494
196.3889,9.106223,-0.9239807,0.02756494
196.4,9.106223,-0.9239807,0.02756494
196.4044,9.191279,-1.471527,0.05967036
196.4111,9.191279,-1.471527,0.05967036
196.4222,9.191279,-1.471527,0.05967036
196.4333,9.191279,-1.471527,0.05967036
196.4444,9.191279,-1.471527,0.05967036
196.4556,9.191279,-1.471527,0.05967036
196.4636,9.468045,-0.7469482,0.02983559
196.4778,9.468045,-0.7469482,0.02983559
196.4889,9.468045,-0.7469482,0.02983559
196.5,9.468045,-0.7469482,0.02983559
196.5111,9.468045,-0.7469482,0.02983559
196.5222,9.468045,-0.7469482,0.02983559
196.5236,9.04569,1.136863,-0.03085327
196.5333,9.04569,1.136863,-0.03085327
196.5444,9.04569,1.136863,-0.03085327
196.5556,9.04569,1.136863,-0.03085327
196.5667,9.04569,1.136863,-0.03085327
196.5778,9.04569,1.136863,-0.03085327
196.5822,7.468076,3.06514,-0.1078796
196.6,7.468076,3.06514,-0.1078796
196.6111,7.468076,3.06514,-0.1078796
196.6222,7.468076,3.06514,-0.1078796
196.6333,7.468076,3.06514,-0.1078796
196.6397,5.284233,5.165031,-0.3260803
196.6445,5.284233,5.165031,-0.3260803
196.6556,5.284233,5.165031,-0.3260803
196.6667,5.284233,5.165031,-0.3260803
196.6778,5.284233,5.165031,-0.3260803
196.6889,5.284233,5.165031,-0.3260803
196.6999,2.958102,6.818656,-0.5735168
196.7,2.958102,6.818656,-0.5735168
196.7111,2.958102,6.818656,-0.5735168
196.7222,2.958102,6.818656,-0.5735168
196.7333,2.958102,6.818656,-0.5735168
196.7444,2.958102,6.818656,-0.5735168
196.7556,2.958102,6.818656,-0.5735168
196.7667,3.121463,2.96225,-0.2272644
196.7778,3.121463,2.96225,-0.2272644
196.7889,3.121463,2.96225,-0.2272644
196.8,3.121463,2.96225,-0.2272644
196.8111,3.121463,2.96225,-0.2272644
196.817,3.489455,2.576509,-0.1775818
196.8222,3.489455,2.576509,-0.1775818
196.8333,3.489455,2.576509,-0.1775818
196.8445,3.489455,2.576509,-0.1775818
196.8556,3.489455,2.576509,-0.1775818
196.8667,3.489455,2.576509,-0.1775818
196.8746,4.026445,1.506726,-0.08886719
196.8889,4.026445,1.506726,-0.08886719
196.9,4.026445,1.506726,-0.08886719
196.9111,4.026445,1.506726,-0.08886719
196.9222,4.026445,1.506726,-0.08886719
196.9333,4.026445,1.506726,-0.08886719
196.936,4.185194,0.6181286,-0.03372192
196.9444,4.185194,0.6181286,-0.03372192
196.9556,4.185194,0.6181286,-0.03372192
196.9667,4.185194,0.6181286,-0.03372192
196.9778,4.185194,0.6181286,-0.03372192
196.9889,4.185194,0.6181286,-0.03372192
196.9944,4.147979,-1.386627,0.08187752
197,4.147979,-1.386627,0.08187752
197.0111,4.147979,-1.386627,0.08187752
197.0222,4.147979,-1.386627,0.08187752
197.0333,4.147979,-1.386627,0.08187752
197.0444,4.147979,-1.386627,0.08187752
197.0539,5.285055,-3.030792,0.2012037
197.0667,5.285055,-3.030792,0.2012037
197.0778,5.285055,-3.030792,0.2012037
197.0889,5.285055,-3.030792,0.2012037
197.1,5.285055,-3.030792,0.2012037
197.1111,5.285055,-3.030792,0.2012037
197.1148,4.695652,-4.697479,0.4066362
197.1222,4.695652,-4.697479,0.4066362
197.1333,4.695652,-4.697479,0.4066362
197.1445,4.695652,-4.697479,0.4066362
197.1556,4.695652,-4.697479,0.4066362
197.1667,4.695652,-4.697479,0.4066362
197.1747,3.789179,-4.40799,0.4103311
197.1889,3.789179,-4.40799,0.4103311
197.2,3.789179,-4.40799,0.4103311
197.2111,3.789179,-4.40799,0.4103311
197.2222,3.789179,-4.40799,0.4103311
197.2333,3.789179,-4.40799,0.4103311
197.2341,0.02771879,-4.27182,0.5722097
197.2444,0.02771879,-4.27182,0.5722097
197.2556,0.02771879,-4.27182,0.5722097
197.2667,0.02771879,-4.27182,0.5722097
197.2778,0.02771879,-4.27182,0.5722097
197.2889,0.02771879,-4.27182,0.5722097
197.2924,-1.141632,-2.389282,0.3296277
197.3,-1.141632,-2.389282,0.3296277
197.3111,-1.141632,-2.389282,0.3296277
197.3222,-1.141632,-2.389282,0.3296277
197.3333,-1.141632,-2.389282,0.3296277
197.3445,-1.141632,-2.389282,0.3296277
197.353,-0.668396,-1.246979,0.1531584
197.3667,-0.668396,-1.246979,0.1531584
197.3778,-0.668396,-1.246979,0.1531584
197.3889,-0.668396,-1.246979,0.1531584
197.4,-0.668396,-1.246979,0.1531584
197.4111,-0.668396,-1.246979,0.1531584
197.412,1.127883,-2.848083,0.282077
197.4222,1.127883,-2.848083,0.282077
197.4333,1.127883,-2.848083,0.282077
197.4444,1.127883,-2.848083,0.282077
197.4556,1.127883,-2.848083,0.282077
197.4667,1.127883,-2.848083,0.282077
197.471,3.161445,-2.360382,0.1809187
197.4889,3.161445,-2.360382,0.1809187
197.5,3.161445,-2.360382,0.1809187
197.5111,3.161445,-2.360382,0.1809187
197.5222,3.161445,-2.360382,0.1809187
