time,pos.x,pos.y,pos.z,rot.x,rot.y,rot.z
155.897,-49.0983,1.897066,35.85914,2.033414,-20.15176,2.646361
155.9441,-49.03623,1.900164,35.78927,-0.03256539,-20.46909,2.87803
155.9738,-48.9969,1.901278,35.74496,-0.7988281,-20.1559,2.961132
156.0016,-48.96025,1.904062,35.70181,-1.127533,-19.19965,2.804003
156.0388,-48.91342,1.906222,35.64889,-1.130005,-18.47574,2.929239
156.0672,-48.88056,1.902369,35.60475,-0.2082969,-17.74247,2.941473
156.1038,-48.84058,1.896438,35.55696,0.4444056,-17.17365,2.411625
156.1322,-48.81438,1.888544,35.51511,0.9236747,-16.28591,1.547402
156.1719,-48.77901,1.885597,35.47031,1.054538,-15.70538,1.347149
156.1995,-48.76001,1.88783,35.43414,0.2590745,-14.79388,1.283085
156.2373,-48.73159,1.892142,35.39857,-0.5635061,-13.1217,1.262444
156.2637,-48.71571,1.900327,35.36972,-2.223511,-12.25095,1.45482
156.3024,-48.68786,1.905342,35.33894,-3.171387,-10.93123,1.427534
156.3312,-48.66866,1.906841,35.31299,-3.583801,-10.88404,0.7039386
156.3708,-48.6377,1.902905,35.28269,-2.683228,-10.57542,-0.08092892
156.3971,-48.61828,1.898373,35.26019,-0.4708604,-10.62386,-1.158479
156.4375,-48.58386,1.896359,35.22905,0.6919029,-10.39991,-1.651001
156.4628,-48.56372,1.897612,35.21074,1.51459,-10.63427,-1.671814
156.5037,-48.52827,1.901063,35.18092,1.201439,-10.73919,-1.434523
156.5321,-48.50473,1.908123,35.16236,0.2646757,-10.71001,-1.321723
156.5688,-48.47334,1.910044,35.13632,-0.007680297,-10.66832,-1.069725
156.5941,-48.45183,1.910574,35.11882,-0.105951,-10.6348,-0.6551601
156.6218,-48.42762,1.911138,35.09986,-0.4525553,-10.10969,-0.1101737
156.6599,-48.39561,1.909932,35.0742,-0.2050131,-9.788094,0.003681898
156.6859,-48.37249,1.907196,35.0584,0.4300135,-9.561386,0.6561774
156.7262,-48.33897,1.906644,35.03233,0.4082817,-9.899269,0.8182544
156.7516,-48.31485,1.905668,35.01808,-0.04958475,-10.69183,0.5837324
156.7921,-48.28096,1.904755,34.99179,-0.2382804,-11.22579,0.3769921
156.8203,-48.25302,1.902586,34.97654,0.001631141,-10.88242,0.01654673
156.8586,-48.22048,1.901811,34.95226,0.1723053,-10.63517,0.01948786
156.8826,-48.19865,1.902194,34.93816,0.295306,-10.2567,0.2469742
156.9108,-48.17091,1.90242,34.92376,-0.1492839,-10.69199,0.9550182
156.9485,-48.1403,1.902738,34.89952,-0.3313873,-11.11275,1.501818
156.9755,-48.1149,1.903958,34.88562,-0.1721102,-10.61238,1.924239
157.0144,-48.08447,1.905199,34.86007,0.209935,-10.37932,1.573043
157.0416,-48.06285,1.905684,34.84664,1.807918,-9.388855,1.406746
157.0816,-48.03193,1.905394,34.81828,2.735823,-8.922577,1.410848
157.1075,-48.01294,1.904984,34.80322,3.423872,-7.719559,1.374674
157.1482,-47.97677,1.904454,34.76715,3.801342,-7.254074,1.435107
157.1758,-47.95355,1.904109,34.74247,4.411823,-6.106277,1.757916
157.2152,-47.91236,1.904145,34.69901,4.517851,-5.269882,1.873918
157.2403,-47.88869,1.903558,34.66954,5.133965,-3.148483,2.216892
157.2813,-47.84283,1.903883,34.61905,5.136791,-1.897995,2.344639
157.3083,-47.8139,1.904791,34.58318,4.773321,1.779892,2.355381
157.349,-47.76678,1.908125,34.53394,4.704376,3.824158,2.310359
157.3749,-47.73838,1.910985,34.49752,4.793111,6.419769,2.304472
157.4161,-47.6936,1.914763,34.45052,4.61557,7.647736,2.19095
157.4426,-47.6678,1.915511,34.41586,4.595139,9.894958,2.071182
157.4803,-47.6316,1.913059,34.3781,4.658284,11.54172,1.957328
157.5062,-47.60876,1.910627,34.35276,4.678405,12.5912,1.609122
157.5335,-47.58662,1.906318,34.32347,4.872653,13.11995,0.003302336
157.5698,-47.55864,1.902586,34.2944,5.090678,13.40994,-0.9620306
157.5958,-47.54039,1.89807,34.26881,5.402741,13.62866,-2.751129
157.6359,-47.51358,1.898929,34.24248,5.665512,15.04234,-3.315582
157.6603,-47.49755,1.899016,34.22573,5.988905,15.61548,-3.543518
157.6856,-47.48059,1.899901,34.20642,6.562136,15.90007,-3.253723
157.7245,-47.45336,1.903026,34.18316,7.01401,16.31503,-3.158356
157.7513,-47.43409,1.904208,34.16586,8.046378,15.88752,-2.143585
157.7914,-47.40313,1.905012,34.14154,8.815383,15.54439,-1.391531
157.8192,-47.38053,1.904076,34.12497,10.00638,14.675,-1.569427
157.8579,-47.3426,1.908715,34.09726,10.23713,14.17958,-2.191711
157.8835,-47.31554,1.911067,34.07814,9.981689,13.41685,-2.395355
157.9094,-47.2854,1.91428,34.06012,9.254138,11.81024,-2.189453
157.9464,-47.24221,1.915188,34.03041,8.777837,10.99112,-1.967316
157.972,-47.21136,1.91584,34.01049,8.273786,10.1128,-1.633301
157.9975,-47.17809,1.915418,33.99298,7.479329,8.560883,-1.222236
158.0367,-47.13215,1.914504,33.96206,7.375293,7.81337,-1.128045
