time,rot.x,rot.y,rot.z
221.3222,1.33272,-2.423615,-0.06484985
221.3333,1.33272,-2.423615,-0.06484985
221.3445,1.33272,-2.423615,-0.06484985
221.3556,1.33272,-2.423615,-0.06484985
221.3667,1.33272,-2.423615,-0.06484985
221.3778,1.33272,-2.423615,-0.06484985
221.3889,1.33272,-2.423615,-0.06484985
221.4,1.33272,-2.423615,-0.06484985
221.4111,1.33272,-2.423615,-0.06484985
221.4145,2.209047,-1.784149,-0.04953003
221.4222,2.209047,-1.784149,-0.04953003
221.4303,2.191438,-1.857361,-0.05200195
221.4444,2.191438,-1.857361,-0.05200195
221.4556,2.235531,-1.724487,-0.04858398
221.4667,2.235531,-1.724487,-0.04858398
221.4778,2.409482,-1.725159,-0.04934692
221.4889,2.409482,-1.725159,-0.04934692
221.5,2.369135,-1.733917,-0.04940796
221.5111,2.369135,-1.733917,-0.04940796
221.5124,2.328959,-1.675018,-0.04699707
221.5222,2.328959,-1.675018,-0.04699707
221.5333,2.328959,-1.675018,-0.04699707
221.5444,2.259386,-1.700745,-0.04696655
221.5556,2.259386,-1.700745,-0.04696655
221.5667,2.246997,-1.580658,-0.04367065
221.5778,2.246997,-1.580658,-0.04367065
221.5889,2.271094,-1.613708,-0.04495239
221.6,2.271094,-1.613708,-0.04495239
221.601,2.258863,-1.56015,-0.04397583
221.6111,2.258863,-1.56015,-0.04397583
221.6222,2.258863,-1.56015,-0.04397583
221.6333,2.214538,-1.554657,-0.04394531
221.6445,2.214538,-1.554657,-0.04394531
221.6556,2.305594,-1.50116,-0.04333496
221.6667,2.305594,-1.50116,-0.04333496
221.6778,2.314614,-1.497437,-0.04351807
221.6889,2.314614,-1.497437,-0.04351807
221.6902,2.483252,-1.586884,-0.04785156
221.7,2.483252,-1.586884,-0.04785156
221.7111,2.483252,-1.586884,-0.04785156
221.7222,2.609728,-1.636292,-0.0524292
221.7333,2.609728,-1.636292,-0.0524292
221.7444,2.875035,-1.486938,-0.05072021
221.7556,2.875035,-1.486938,-0.05072021
221.7667,3.349465,-1.434387,-0.05166626
221.7778,3.349465,-1.434387,-0.05166626
221.7889,3.874666,-1.189697,-0.04257202
221.8,3.874666,-1.189697,-0.04257202
221.8007,4.104337,-0.993042,-0.03518677
221.8111,4.104337,-0.993042,-0.03518677
221.8222,4.104337,-0.993042,-0.03518677
221.8333,4.121408,-1.042847,-0.03643799
221.8445,4.121408,-1.042847,-0.03643799
221.8556,3.596947,-1.584656,-0.05404663
221.8667,3.596947,-1.584656,-0.05404663
221.8778,3.346573,-1.778046,-0.06118774
221.8889,3.346573,-1.778046,-0.06118774
221.8938,3.583696,-1.687012,-0.06350708
221.9,3.583696,-1.687012,-0.06350708
221.9111,3.583696,-1.687012,-0.06350708
221.9222,3.765251,-1.611053,-0.06533813
221.9331,4.045764,-1.970001,-0.07971191
221.9444,4.045764,-1.970001,-0.07971191
221.9556,3.495075,-2.132355,-0.08337402
221.9667,3.495075,-2.132355,-0.08337402
221.9778,3.468884,-2.287598,-0.08181763
221.9889,3.468884,-2.287598,-0.08181763
222,3.619659,-2.301483,-0.07733154
222.0013,3.245012,-2.18869,-0.05767822
222.0111,3.245012,-2.18869,-0.05767822
222.0222,3.245012,-2.18869,-0.05767822
222.0333,3.423314,-1.760559,-0.03860474
222.0444,2.918597,-1.748871,-0.02966309
222.0556,2.918597,-1.748871,-0.02966309
222.0667,1.863449,-1.238525,-0.02029419
222.0778,2.026951,-2.024689,-0.03347778
222.0886,1.202482,-2.496704,-0.04589844
222.1,1.202482,-2.496704,-0.04589844
222.1006,1.519294,-2.636658,-0.05908203
222.1111,1.519294,-2.636658,-0.05908203
222.1222,1.519294,-2.636658,-0.05908203
222.1333,2.406918,-2.27182,-0.05563354
222.1445,2.867365,-2.271881,-0.05722046
222.1552,2.791908,-2.617004,-0.06564331
222.1662,2.76558,-2.582825,-0.06478882
222.1778,2.76558,-2.582825,-0.06478882
222.1889,2.488149,-2.718964,-0.06491089
222.2,2.488149,-2.718964,-0.06491089
222.2,2.121007,-2.572113,-0.05603027
222.2111,2.121007,-2.572113,-0.05603027
222.2222,2.032052,-2.295715,-0.03982544
222.233,1.51599,-1.957916,-0.03063965
222.2444,1.51599,-1.957916,-0.03063965
222.2556,1.607021,-1.139099,-0.01477051
222.2661,1.570927,-0.8634338,-0.009918213
222.2778,1.570927,-0.8634338,-0.009918213
222.2889,1.424418,0.1634116,0.001945058
222.2998,1.750309,0.5104222,0.006865851
222.3,1.750309,0.5104222,0.006865851
222.3111,1.750309,0.5104222,0.006865851
222.3222,2.510879,1.438719,0.02339151
222.3333,2.510879,1.438719,0.02339151
222.3445,2.993818,2.15994,0.03572198
222.3556,3.128724,1.986001,0.03057973
222.3667,3.128724,1.986001,0.03057973
222.3778,3.098974,1.780235,0.02447568
222.3887,1.280775,1.182031,0.01366182
222.4,1.280775,1.182031,0.01366182
222.4008,-0.09838867,0.4465295,0.002595917
222.4111,-0.09838867,0.4465295,0.002595917
222.4222,-0.09838867,0.4465295,0.002595917
222.4333,0.0693339,-0.00555292,4.146332E-05
222.4444,0.0693339,-0.00555292,4.146332E-05
222.4556,-0.9588013,-0.8174438,0.008891572
222.4667,-0.9588013,-0.8174438,0.008891572
222.4778,-0.7879028,-0.7081604,0.01197098
222.4888,-1.266663,-1.176697,0.02103462
222.5,-1.266663,-1.176697,0.02103462
222.5003,-1.083557,-1.281647,0.01619965
222.5111,-1.083557,-1.281647,0.01619965
222.5222,-0.3078308,-1.30954,0.006133612
222.5333,-0.3078308,-1.30954,0.006133612
222.5444,-0.3078308,-1.30954,0.006133612
222.5556,-0.3078308,-1.30954,0.006133612
222.5667,0.3631691,-1.060699,0.002000707
222.5778,1.271418,-0.9435425,-0.005084888
222.5882,1.383717,-0.9277649,-0.008972168
222.5992,1.833593,-0.8280945,-0.01095581
222.6,1.833593,-0.8280945,-0.01095581
222.6107,1.731895,-0.8691711,-0.01480103
